fips,measure,source,date
10001,0.058977,11,1/1/2016
10003,0.108287,11,1/1/2016
10005,0.058327,11,1/1/2016
11001,0.142016,11,1/1/2016
12001,0.168956,11,1/1/2016
12003,0.028191,11,1/1/2016
12005,0.071223,11,1/1/2016
12007,0.022997,11,1/1/2016
12009,0.108611,11,1/1/2016
12011,0.085496,11,1/1/2016
12013,0.016463,11,1/1/2016
12015,0.070936,11,1/1/2016
12017,0.048031,11,1/1/2016
12019,0.094291,11,1/1/2016
12021,0.070828,11,1/1/2016
12023,0.045153,11,1/1/2016
12027,0.012032,11,1/1/2016
12029,0.013869,11,1/1/2016
12031,0.083296,11,1/1/2016
12033,0.094728,11,1/1/2016
12035,0.088884,11,1/1/2016
12037,0.027929,11,1/1/2016
12039,0.027873,11,1/1/2016
12041,0.031183,11,1/1/2016
12043,0.014703,11,1/1/2016
12045,0.032889,11,1/1/2016
12047,0.015447,11,1/1/2016
12049,0.010196,11,1/1/2016
12051,0.009985,11,1/1/2016
12053,0.050816,11,1/1/2016
12055,0.035818,11,1/1/2016
12057,0.081566,11,1/1/2016
12059,0.019421,11,1/1/2016
12061,0.07187,11,1/1/2016
12063,0.023119,11,1/1/2016
12065,0.034439,11,1/1/2016
12067,0.01815,11,1/1/2016
12069,0.062727,11,1/1/2016
12071,0.066089,11,1/1/2016
12073,0.179315,11,1/1/2016
12075,0.026904,11,1/1/2016
12077,0.018811,11,1/1/2016
12079,0.03084,11,1/1/2016
12081,0.07764,11,1/1/2016
12083,0.049237,11,1/1/2016
12085,0.101386,11,1/1/2016
12086,0.04564,11,1/1/2016
12087,0.108675,11,1/1/2016
12089,0.088982,11,1/1/2016
12091,0.111626,11,1/1/2016
12093,0.014345,11,1/1/2016
12095,0.083956,11,1/1/2016
12097,0.048735,11,1/1/2016
12099,0.086987,11,1/1/2016
12101,0.069158,11,1/1/2016
12103,0.10008,11,1/1/2016
12105,0.042182,11,1/1/2016
12107,0.022259,11,1/1/2016
12109,0.236567,11,1/1/2016
12111,0.05262,11,1/1/2016
12113,0.09764,11,1/1/2016
12115,0.135715,11,1/1/2016
12117,0.179615,11,1/1/2016
12119,0.096932,11,1/1/2016
12121,0.022277,11,1/1/2016
12123,0.020178,11,1/1/2016
12125,0.013746,11,1/1/2016
12127,0.073936,11,1/1/2016
12129,0.051673,11,1/1/2016
12131,0.055089,11,1/1/2016
12133,0.019567,11,1/1/2016
13001,0.018183,11,1/1/2016
13003,0.010496,11,1/1/2016
13005,0.026151,11,1/1/2016
13007,0.021557,11,1/1/2016
13009,0.033909,11,1/1/2016
13011,0.016831,11,1/1/2016
13013,0.03483,11,1/1/2016
13015,0.033952,11,1/1/2016
13017,0.024685,11,1/1/2016
13019,0.028493,11,1/1/2016
13021,0.048198,11,1/1/2016
13023,0.03989,11,1/1/2016
13025,0.020296,11,1/1/2016
13027,0.022777,11,1/1/2016
13029,0.107871,11,1/1/2016
13031,0.065417,11,1/1/2016
13033,0.020486,11,1/1/2016
13035,0.015025,11,1/1/2016
13037,0.014621,11,1/1/2016
13039,0.088735,11,1/1/2016
13043,0.021244,11,1/1/2016
13045,0.030572,11,1/1/2016
13047,0.050579,11,1/1/2016
13049,0.019989,11,1/1/2016
13051,0.090342,11,1/1/2016
13053,0.093666,11,1/1/2016
13055,0.014166,11,1/1/2016
13057,0.101134,11,1/1/2016
13059,0.083146,11,1/1/2016
13061,0.020148,11,1/1/2016
13063,0.039882,11,1/1/2016
13065,0.020598,11,1/1/2016
13067,0.144371,11,1/1/2016
13069,0.024419,11,1/1/2016
13071,0.016935,11,1/1/2016
13073,0.136573,11,1/1/2016
13075,0.021463,11,1/1/2016
13077,0.075146,11,1/1/2016
13079,0.024208,11,1/1/2016
13081,0.024445,11,1/1/2016
13083,0.028285,11,1/1/2016
13085,0.064053,11,1/1/2016
13087,0.027785,11,1/1/2016
13089,0.10318,11,1/1/2016
13091,0.028434,11,1/1/2016
13093,0.015718,11,1/1/2016
13095,0.037258,11,1/1/2016
13097,0.069981,11,1/1/2016
13099,0.026201,11,1/1/2016
13101,0.010316,11,1/1/2016
13103,0.046008,11,1/1/2016
13105,0.019746,11,1/1/2016
13107,0.019615,11,1/1/2016
13109,0.021753,11,1/1/2016
13111,0.035788,11,1/1/2016
13113,0.240066,11,1/1/2016
13115,0.031993,11,1/1/2016
13117,0.174056,11,1/1/2016
13119,0.020844,11,1/1/2016
13121,0.156238,11,1/1/2016
13123,0.031369,11,1/1/2016
13125,0.014479,11,1/1/2016
13127,0.071147,11,1/1/2016
13129,0.018593,11,1/1/2016
13131,0.022941,11,1/1/2016
