fips,measure,source,date
10001,0.763594,12,1/1/2016
10003,0.798307,12,1/1/2016
10005,0.586614,12,1/1/2016
11001,0.846677,12,1/1/2016
12001,0.82587,12,1/1/2016
12003,0.816138,12,1/1/2016
12005,0.751292,12,1/1/2016
12007,0.723912,12,1/1/2016
12009,0.621605,12,1/1/2016
12011,0.766154,12,1/1/2016
12013,0.720329,12,1/1/2016
12015,0.314376,12,1/1/2016
12017,0.365483,12,1/1/2016
12019,0.790101,12,1/1/2016
12021,0.477476,12,1/1/2016
12023,0.729305,12,1/1/2016
12027,0.684194,12,1/1/2016
12029,0.637067,12,1/1/2016
12031,0.819961,12,1/1/2016
12033,0.757978,12,1/1/2016
12035,0.503654,12,1/1/2016
12037,0.673573,12,1/1/2016
12039,0.767984,12,1/1/2016
12041,0.680959,12,1/1/2016
12043,0.552511,12,1/1/2016
12045,0.715634,12,1/1/2016
12047,0.765689,12,1/1/2016
12049,0.783914,12,1/1/2016
12051,0.819332,12,1/1/2016
12053,0.521,12,1/1/2016
12055,0.390131,12,1/1/2016
12057,0.812569,12,1/1/2016
12059,0.695302,12,1/1/2016
12061,0.465481,12,1/1/2016
12063,0.71816,12,1/1/2016
12065,0.669792,12,1/1/2016
12067,0.797696,12,1/1/2016
12069,0.551579,12,1/1/2016
12071,0.543565,12,1/1/2016
12073,0.847887,12,1/1/2016
12075,0.619896,12,1/1/2016
12077,0.83736,12,1/1/2016
12079,0.711458,12,1/1/2016
12081,0.56083,12,1/1/2016
12083,0.513528,12,1/1/2016
12085,0.48223,12,1/1/2016
12086,0.768771,12,1/1/2016
12087,0.664501,12,1/1/2016
12089,0.6743,12,1/1/2016
12091,0.772073,12,1/1/2016
12093,0.717819,12,1/1/2016
12095,0.860177,12,1/1/2016
12097,0.822832,12,1/1/2016
12099,0.616566,12,1/1/2016
12101,0.623607,12,1/1/2016
12103,0.611721,12,1/1/2016
12105,0.683116,12,1/1/2016
12107,0.649519,12,1/1/2016
12109,0.711474,12,1/1/2016
12111,0.620273,12,1/1/2016
12113,0.786407,12,1/1/2016
12115,0.38789,12,1/1/2016
12117,0.788052,12,1/1/2016
12119,0,12,1/1/2016
12121,0.670911,12,1/1/2016
12123,0.717807,12,1/1/2016
12125,0.819356,12,1/1/2016
12127,0.607185,12,1/1/2016
12129,0.817023,12,1/1/2016
12131,0.696888,12,1/1/2016
12133,0.723088,12,1/1/2016
13001,0.763062,12,1/1/2016
13003,0.845461,12,1/1/2016
13005,0.786996,12,1/1/2016
13007,0.681556,12,1/1/2016
13009,0.798401,12,1/1/2016
13011,0.748502,12,1/1/2016
13013,0.851083,12,1/1/2016
13015,0.819281,12,1/1/2016
13017,0.768542,12,1/1/2016
13019,0.751235,12,1/1/2016
13021,0.795327,12,1/1/2016
13023,0.734671,12,1/1/2016
13025,0.785559,12,1/1/2016
13027,0.705797,12,1/1/2016
13029,0.875486,12,1/1/2016
13031,0.871423,12,1/1/2016
13033,0.793593,12,1/1/2016
13035,0.784846,12,1/1/2016
