fips,measure,source,date
10001,0.917355,13,1/1/2016
10003,0.905835,13,1/1/2016
10005,0.94518,13,1/1/2016
11001,0.528923,13,1/1/2016
12001,0.89189,13,1/1/2016
12003,0.961501,13,1/1/2016
12005,0.919551,13,1/1/2016
12007,0.88253,13,1/1/2016
12009,0.925986,13,1/1/2016
12011,0.902929,13,1/1/2016
12013,0.898847,13,1/1/2016
12015,0.937688,13,1/1/2016
12017,0.925678,13,1/1/2016
12019,0.960344,13,1/1/2016
12021,0.929916,13,1/1/2016
12023,0.92184,13,1/1/2016
12027,0.90434,13,1/1/2016
12029,0.900346,13,1/1/2016
12031,0.891771,13,1/1/2016
12033,0.921486,13,1/1/2016
12035,0.949214,13,1/1/2016
12037,0.920213,13,1/1/2016
12039,0.854976,13,1/1/2016
12041,0.933156,13,1/1/2016
12043,0.924966,13,1/1/2016
12045,0.936848,13,1/1/2016
12047,0.858694,13,1/1/2016
12049,0.905474,13,1/1/2016
12051,0.875033,13,1/1/2016
12053,0.941983,13,1/1/2016
12055,0.916912,13,1/1/2016
12057,0.908452,13,1/1/2016
12059,0.909332,13,1/1/2016
12061,0.930508,13,1/1/2016
12063,0.877176,13,1/1/2016
12065,0.915562,13,1/1/2016
12067,0.912973,13,1/1/2016
12069,0.928805,13,1/1/2016
12071,0.93421,13,1/1/2016
12073,0.916376,13,1/1/2016
12075,0.915047,13,1/1/2016
12077,0.929345,13,1/1/2016
12079,0.862516,13,1/1/2016
12081,0.931742,13,1/1/2016
12083,0.930305,13,1/1/2016
12085,0.93952,13,1/1/2016
12086,0.85732,13,1/1/2016
12087,0.89996,13,1/1/2016
12089,0.941388,13,1/1/2016
12091,0.937242,13,1/1/2016
12093,0.946316,13,1/1/2016
12095,0.915348,13,1/1/2016
12097,0.926068,13,1/1/2016
12099,0.914121,13,1/1/2016
12101,0.923681,13,1/1/2016
12103,0.888302,13,1/1/2016
12105,0.916441,13,1/1/2016
12107,0.897431,13,1/1/2016
12109,0.953806,13,1/1/2016
12111,0.922545,13,1/1/2016
12113,0.953589,13,1/1/2016
12115,0.931246,13,1/1/2016
12117,0.952891,13,1/1/2016
12119,0.955296,13,1/1/2016
12121,0.91659,13,1/1/2016
12123,0.917479,13,1/1/2016
12125,0.910213,13,1/1/2016
12127,0.917671,13,1/1/2016
12129,0.947511,13,1/1/2016
12131,0.927651,13,1/1/2016
12133,0.921912,13,1/1/2016
13001,0.897594,13,1/1/2016
13003,0.892821,13,1/1/2016
13005,0.930791,13,1/1/2016
13007,0.902541,13,1/1/2016
13009,0.895841,13,1/1/2016
13011,0.940707,13,1/1/2016
13013,0.955133,13,1/1/2016
13015,0.944243,13,1/1/2016
13017,0.768912,13,1/1/2016
13019,0.871449,13,1/1/2016
13021,0.836538,13,1/1/2016
13023,0.905492,13,1/1/2016
13025,0.950431,13,1/1/2016
13027,0.905158,13,1/1/2016
13029,0.945432,13,1/1/2016
13031,0.923609,13,1/1/2016
13033,0.908239,13,1/1/2016
13035,0.917531,13,1/1/2016
13037,0.879101,13,1/1/2016
13039,0.931882,13,1/1/2016
13043,0.908058,13,1/1/2016
13045,0.921517,13,1/1/2016
13047,0.953115,13,1/1/2016
13049,0.893077,13,1/1/2016
13051,0.892918,13,1/1/2016
13053,0.919172,13,1/1/2016
13055,0.922436,13,1/1/2016
13057,0.957749,13,1/1/2016
13059,0.888938,13,1/1/2016
13061,0.726645,13,1/1/2016
13063,0.905265,13,1/1/2016
13065,0.853345,13,1/1/2016
13067,0.95001,13,1/1/2016
13069,0.882958,13,1/1/2016
13071,0.862244,13,1/1/2016
13073,0.96522,13,1/1/2016
13075,0.891984,13,1/1/2016
13077,0.948997,13,1/1/2016
13079,0.927246,13,1/1/2016
13081,0.843333,13,1/1/2016
13083,0.931623,13,1/1/2016
13085,0.960666,13,1/1/2016
13087,0.854307,13,1/1/2016
13089,0.882248,13,1/1/2016
13091,0.87085,13,1/1/2016
13093,0.901798,13,1/1/2016
13095,0.828334,13,1/1/2016
13097,0.950418,13,1/1/2016
13099,0.868419,13,1/1/2016
13101,0.965438,13,1/1/2016
13103,0.965662,13,1/1/2016
13105,0.89865,13,1/1/2016
13107,0.861718,13,1/1/2016
13109,0.89777,13,1/1/2016
13111,0.942113,13,1/1/2016
13113,0.964929,13,1/1/2016
13115,0.896169,13,1/1/2016
