fips,measure,source,date
10001,0.917228,14,1/1/2016
10003,0.891119,14,1/1/2016
10005,0.928906,14,1/1/2016
11001,0.857977,14,1/1/2016
12001,0.876731,14,1/1/2016
12003,0.857677,14,1/1/2016
12005,0.865069,14,1/1/2016
12007,0.910479,14,1/1/2016
12009,0.877249,14,1/1/2016
12011,0.890296,14,1/1/2016
12013,0.854667,14,1/1/2016
12015,0.905708,14,1/1/2016
12017,0.896304,14,1/1/2016
12019,0.909666,14,1/1/2016
12021,0.923373,14,1/1/2016
12023,0.891686,14,1/1/2016
12027,0.75192,14,1/1/2016
12029,0.917937,14,1/1/2016
12031,0.880973,14,1/1/2016
12033,0.867921,14,1/1/2016
12035,0.895262,14,1/1/2016
12037,0.921208,14,1/1/2016
12039,0.840187,14,1/1/2016
12041,0.82683,14,1/1/2016
12043,0.876459,14,1/1/2016
12045,0.93016,14,1/1/2016
12047,0.923498,14,1/1/2016
12049,0.806243,14,1/1/2016
12051,0.870418,14,1/1/2016
12053,0.903849,14,1/1/2016
12055,0.857273,14,1/1/2016
12057,0.828667,14,1/1/2016
12059,0.892504,14,1/1/2016
12061,0.787336,14,1/1/2016
12063,0.836076,14,1/1/2016
12065,0.863685,14,1/1/2016
12067,0.893539,14,1/1/2016
12069,0.862087,14,1/1/2016
12071,0.888442,14,1/1/2016
12073,0.856924,14,1/1/2016
12075,0.894592,14,1/1/2016
12077,0.916367,14,1/1/2016
12079,0.514008,14,1/1/2016
12081,0.82334,14,1/1/2016
12083,0.857933,14,1/1/2016
12085,0.890007,14,1/1/2016
12086,0.789925,14,1/1/2016
12087,0.886904,14,1/1/2016
12089,0.907862,14,1/1/2016
12091,0.884702,14,1/1/2016
12093,0.827778,14,1/1/2016
12095,0.863799,14,1/1/2016
12097,0.842886,14,1/1/2016
12099,0.847013,14,1/1/2016
12101,0.886556,14,1/1/2016
12103,0.861466,14,1/1/2016
12105,0.879757,14,1/1/2016
12107,0.904285,14,1/1/2016
12109,1,14,1/1/2016
12111,0.88142,14,1/1/2016
12113,0.866858,14,1/1/2016
12115,0.922173,14,1/1/2016
12117,0.844794,14,1/1/2016
12119,0.871268,14,1/1/2016
12121,0.873962,14,1/1/2016
12123,0.665927,14,1/1/2016
12125,0.892476,14,1/1/2016
12127,0.864704,14,1/1/2016
12129,0.789904,14,1/1/2016
12131,0.912332,14,1/1/2016
12133,0.917784,14,1/1/2016
13001,0.680979,14,1/1/2016
13003,0.788001,14,1/1/2016
13005,0.808042,14,1/1/2016
13007,0.953456,14,1/1/2016
13009,0.893152,14,1/1/2016
13011,0.797035,14,1/1/2016
13013,0.817,14,1/1/2016
13015,0.605595,14,1/1/2016
13017,0.446939,14,1/1/2016
13019,0.541312,14,1/1/2016
13021,0.867234,14,1/1/2016
13023,0.854465,14,1/1/2016
13025,0.945649,14,1/1/2016
13027,0.845492,14,1/1/2016
13029,0.912311,14,1/1/2016
13031,0.908625,14,1/1/2016
13033,0.904547,14,1/1/2016
13035,0.943065,14,1/1/2016
13037,0.912736,14,1/1/2016
13039,0.883148,14,1/1/2016
13043,0.828067,14,1/1/2016
13045,0.859836,14,1/1/2016
13047,0.743927,14,1/1/2016
13049,0.870636,14,1/1/2016
13051,0.887499,14,1/1/2016
13053,0.849919,14,1/1/2016
13055,0.92992,14,1/1/2016
13057,0.832369,14,1/1/2016
13059,0.817109,14,1/1/2016
13061,0.873945,14,1/1/2016
13063,0.886119,14,1/1/2016
13065,0.599287,14,1/1/2016
13067,0.899498,14,1/1/2016
13069,0.31323,14,1/1/2016
13071,0.889407,14,1/1/2016
13073,0.884713,14,1/1/2016
13075,0.755987,14,1/1/2016
13077,0.891811,14,1/1/2016
13079,0.853915,14,1/1/2016
13081,0.807671,14,1/1/2016
13083,0.856804,14,1/1/2016
13085,0.904743,14,1/1/2016
13087,0.941522,14,1/1/2016
13089,0.898948,14,1/1/2016
13091,0.628444,14,1/1/2016
13093,0.828427,14,1/1/2016
13095,0.856853,14,1/1/2016
13097,0.913952,14,1/1/2016
13099,0.954607,14,1/1/2016
13101,0.813134,14,1/1/2016
13103,0.924267,14,1/1/2016
13105,0.846348,14,1/1/2016
13107,0.859683,14,1/1/2016
13109,0.840934,14,1/1/2016
13111,0.956629,14,1/1/2016
13113,0.934407,14,1/1/2016
13115,0.628777,14,1/1/2016
13117,0.902203,14,1/1/2016
13119,0.852552,14,1/1/2016
13121,0.870892,14,1/1/2016
13123,0.926698,14,1/1/2016
13125,0.949389,14,1/1/2016
13127,0.90911,14,1/1/2016
13129,0.781486,14,1/1/2016
13131,0.771051,14,1/1/2016
13133,0.882532,14,1/1/2016
13135,0.898877,14,1/1/2016
13137,0.814546,14,1/1/2016
