fips,measure,source,date
10001,0.9,15,1/1/2016
10003,0.847736,15,1/1/2016
10005,0.894001,15,1/1/2016
11001,0.818592,15,1/1/2016
12001,0.861762,15,1/1/2016
12003,0.964172,15,1/1/2016
12005,0.92881,15,1/1/2016
12007,0.965888,15,1/1/2016
12009,0.891514,15,1/1/2016
12011,0.588907,15,1/1/2016
12013,0.92768,15,1/1/2016
12015,0.894767,15,1/1/2016
12017,0.940116,15,1/1/2016
12019,0.894418,15,1/1/2016
12021,0.662946,15,1/1/2016
12023,0.925221,15,1/1/2016
12027,0.68671,15,1/1/2016
12029,0.957761,15,1/1/2016
12031,0.85948,15,1/1/2016
12033,0.928271,15,1/1/2016
12035,0.844481,15,1/1/2016
12037,0.940848,15,1/1/2016
12039,0.890322,15,1/1/2016
12041,0.954253,15,1/1/2016
12043,0.76546,15,1/1/2016
12045,0.950893,15,1/1/2016
12047,0.90142,15,1/1/2016
12049,0.5963,15,1/1/2016
12051,0.513235,15,1/1/2016
12053,0.887134,15,1/1/2016
12055,0.808118,15,1/1/2016
12057,0.70886,15,1/1/2016
12059,0.976385,15,1/1/2016
12061,0.859217,15,1/1/2016
12063,0.936608,15,1/1/2016
12065,0.929073,15,1/1/2016
12067,0.839526,15,1/1/2016
12069,0.865672,15,1/1/2016
12071,0.774806,15,1/1/2016
12073,0.893277,15,1/1/2016
12075,0.928553,15,1/1/2016
12077,0.917766,15,1/1/2016
12079,0.934389,15,1/1/2016
12081,0.829328,15,1/1/2016
12083,0.882023,15,1/1/2016
12085,0.851218,15,1/1/2016
12086,0.23994,15,1/1/2016
12087,0.758753,15,1/1/2016
12089,0.959065,15,1/1/2016
12091,0.892615,15,1/1/2016
12093,0.757754,15,1/1/2016
12095,0.639498,15,1/1/2016
12097,0.491445,15,1/1/2016
12099,0.68601,15,1/1/2016
12101,0.850622,15,1/1/2016
12103,0.857666,15,1/1/2016
12105,0.792784,15,1/1/2016
12107,0.902124,15,1/1/2016
12109,0.914226,15,1/1/2016
12111,0.776047,15,1/1/2016
12113,0.939297,15,1/1/2016
12115,0.866742,15,1/1/2016
12117,0.789474,15,1/1/2016
12119,0.933576,15,1/1/2016
12121,0.904203,15,1/1/2016
12123,0.939585,15,1/1/2016
12125,0.943367,15,1/1/2016
12127,0.863114,15,1/1/2016
12129,0.934534,15,1/1/2016
12131,0.917488,15,1/1/2016
12133,0.952098,15,1/1/2016
13001,0.898944,15,1/1/2016
13003,0.767836,15,1/1/2016
13005,0.917558,15,1/1/2016
13007,0.929905,15,1/1/2016
13009,0.960073,15,1/1/2016
13011,0.933211,15,1/1/2016
13013,0.875511,15,1/1/2016
13015,0.918088,15,1/1/2016
13017,0.950945,15,1/1/2016
13019,0.939345,15,1/1/2016
13021,0.949677,15,1/1/2016
13023,0.980108,15,1/1/2016
13025,0.97627,15,1/1/2016
13027,0.929601,15,1/1/2016
13029,0.923541,15,1/1/2016
13031,0.950521,15,1/1/2016
13033,0.961594,15,1/1/2016
13035,0.964295,15,1/1/2016
13037,0.930084,15,1/1/2016
13039,0.930802,15,1/1/2016
13043,0.906897,15,1/1/2016
13045,0.932067,15,1/1/2016
13047,0.957081,15,1/1/2016
13049,0.899802,15,1/1/2016
13051,0.900335,15,1/1/2016
13053,0.848405,15,1/1/2016
