fips,measure,source,date
10001,0.71212,16,1/1/2016
10003,0.800742,16,1/1/2016
10005,0.702993,16,1/1/2016
11001,0.794022,16,1/1/2016
12001,0.817188,16,1/1/2016
12003,0.685115,16,1/1/2016
12005,0.588495,16,1/1/2016
12007,0.597707,16,1/1/2016
12009,0.677146,16,1/1/2016
12011,0.794064,16,1/1/2016
12013,0.513538,16,1/1/2016
12015,0.497054,16,1/1/2016
12017,0.485804,16,1/1/2016
12019,0.734444,16,1/1/2016
12021,0.78296,16,1/1/2016
12023,0.589808,16,1/1/2016
12027,0.703484,16,1/1/2016
12029,0.426414,16,1/1/2016
12031,0.725671,16,1/1/2016
12033,0.699598,16,1/1/2016
12035,0.628719,16,1/1/2016
12037,0.542554,16,1/1/2016
12039,0.588781,16,1/1/2016
12041,0.538314,16,1/1/2016
12043,0.483372,16,1/1/2016
12045,0.627176,16,1/1/2016
12047,0.579145,16,1/1/2016
12049,0.829031,16,1/1/2016
12051,0.703841,16,1/1/2016
12053,0.541802,16,1/1/2016
12055,0.567228,16,1/1/2016
12057,0.779613,16,1/1/2016
12059,0.501045,16,1/1/2016
12061,0.614555,16,1/1/2016
12063,0.58392,16,1/1/2016
12065,0.668794,16,1/1/2016
12067,0.661439,16,1/1/2016
12069,0.644725,16,1/1/2016
12071,0.704657,16,1/1/2016
12073,0.809235,16,1/1/2016
12075,0.481338,16,1/1/2016
12077,0.602266,16,1/1/2016
12079,0.535079,16,1/1/2016
12081,0.706611,16,1/1/2016
12083,0.584519,16,1/1/2016
12085,0.671656,16,1/1/2016
12086,0.822898,16,1/1/2016
12087,0.769893,16,1/1/2016
12089,0.635433,16,1/1/2016
12091,0.733411,16,1/1/2016
12093,0.710194,16,1/1/2016
12095,0.820389,16,1/1/2016
12097,0.68852,16,1/1/2016
12099,0.770356,16,1/1/2016
12101,0.622892,16,1/1/2016
12103,0.674548,16,1/1/2016
12105,0.664668,16,1/1/2016
12107,0.619538,16,1/1/2016
12109,0.785565,16,1/1/2016
12111,0.657397,16,1/1/2016
12113,0.683435,16,1/1/2016
12115,0.650087,16,1/1/2016
12117,0.819037,16,1/1/2016
12119,0.551209,16,1/1/2016
12121,0.57098,16,1/1/2016
12123,0.585141,16,1/1/2016
12125,0.83366,16,1/1/2016
12127,0.633743,16,1/1/2016
12129,0.700328,16,1/1/2016
12131,0.639835,16,1/1/2016
12133,0.566275,16,1/1/2016
13001,0.551037,16,1/1/2016
13003,0.67633,16,1/1/2016
13005,0.574216,16,1/1/2016
13007,0.507746,16,1/1/2016
13009,0.71707,16,1/1/2016
13011,0.628948,16,1/1/2016
13013,0.717765,16,1/1/2016
13015,0.680569,16,1/1/2016
13017,0.51124,16,1/1/2016
13019,0.504345,16,1/1/2016
13021,0.679492,16,1/1/2016
13023,0.568064,16,1/1/2016
13025,0.360607,16,1/1/2016
13027,0.487258,16,1/1/2016
13029,0.822034,16,1/1/2016
13031,0.754515,16,1/1/2016
13033,0.631655,16,1/1/2016
13035,0.719892,16,1/1/2016
13037,0.74848,16,1/1/2016
13039,0.78304,16,1/1/2016
13043,0.581765,16,1/1/2016
13045,0.652382,16,1/1/2016
13047,0.684736,16,1/1/2016
13049,0.723229,16,1/1/2016
13051,0.754805,16,1/1/2016
13053,0.851799,16,1/1/2016
13055,0.615595,16,1/1/2016
13057,0.850942,16,1/1/2016
13059,0.82994,16,1/1/2016
13061,0.565344,16,1/1/2016
13063,0.812537,16,1/1/2016
13065,0.539602,16,1/1/2016
13067,0.879996,16,1/1/2016
13069,0.62789,16,1/1/2016
13071,0.678144,16,1/1/2016
13073,0.814195,16,1/1/2016
13075,0.606981,16,1/1/2016
13077,0.812869,16,1/1/2016
13079,0.633169,16,1/1/2016
13081,0.561312,16,1/1/2016
13083,0.633714,16,1/1/2016
13085,0.754834,16,1/1/2016
13087,0.641588,16,1/1/2016
13089,0.826711,16,1/1/2016
13091,0.572185,16,1/1/2016
13093,0.66428,16,1/1/2016
13095,0.681819,16,1/1/2016
13097,0.768048,16,1/1/2016
13099,0.663087,16,1/1/2016
13101,0.711071,16,1/1/2016
13103,0.738907,16,1/1/2016
13105,0.564079,16,1/1/2016
13107,0.58106,16,1/1/2016
13109,0.666801,16,1/1/2016
13111,0.477959,16,1/1/2016
13113,0.853103,16,1/1/2016
13115,0.660435,16,1/1/2016
13117,0.914648,16,1/1/2016
13119,0.437788,16,1/1/2016
13121,0.834432,16,1/1/2016
13123,0.542309,16,1/1/2016
13125,0.75252,16,1/1/2016
13127,0.662306,16,1/1/2016
13129,0.557518,16,1/1/2016
13131,0.504096,16,1/1/2016
13133,0.669552,16,1/1/2016
13135,0.920064,16,1/1/2016
13137,0.667209,16,1/1/2016
13139,0.799305,16,1/1/2016
13141,0.813331,16,1/1/2016
13143,0.568226,16,1/1/2016
13145,0.611316,16,1/1/2016
13147,0.593965,16,1/1/2016
13149,0.512949,16,1/1/2016
13151,0.809844,16,1/1/2016
13153,0.753543,16,1/1/2016
13155,0.427973,16,1/1/2016
13157,0.71614,16,1/1/2016
13159,0.615502,16,1/1/2016
13161,0.593962,16,1/1/2016
13163,0.62584,16,1/1/2016
13165,0.606098,16,1/1/2016
13167,0.593165,16,1/1/2016
13169,0.690646,16,1/1/2016
13171,0.650329,16,1/1/2016
13173,0.559635,16,1/1/2016
13175,0.7582,16,1/1/2016
13177,0.837836,16,1/1/2016
13179,0.781414,16,1/1/2016
13181,0.613369,16,1/1/2016
13183,0.66499,16,1/1/2016
13185,0.751997,16,1/1/2016
13187,0.672861,16,1/1/2016
13189,0.684529,16,1/1/2016
13191,0.304019,16,1/1/2016
13193,0.597535,16,1/1/2016
13195,0.574914,16,1/1/2016
13197,0.562013,16,1/1/2016
13199,0.494596,16,1/1/2016
13201,0.686075,16,1/1/2016
13205,0.590407,16,1/1/2016
13207,0.690547,16,1/1/2016
13209,0.626099,16,1/1/2016
13211,0.644757,16,1/1/2016
13213,0.649647,16,1/1/2016
13215,0.587873,16,1/1/2016
13217,0.678953,16,1/1/2016
13219,0.848302,16,1/1/2016
13221,0.587149,16,1/1/2016
13223,0.82037,16,1/1/2016
13225,0.694022,16,1/1/2016
13227,0.629991,16,1/1/2016
13229,0.52074,16,1/1/2016
13231,0.720188,16,1/1/2016
13233,0.631875,16,1/1/2016
13235,0.565768,16,1/1/2016
13237,0.691504,16,1/1/2016
13239,0.287006,16,1/1/2016
13241,0.61767,16,1/1/2016
13243,0.558261,16,1/1/2016
13245,0.623134,16,1/1/2016
13247,0.85732,16,1/1/2016
13249,0.615805,16,1/1/2016
