fips,measure,source,date
10001,0.878237,17,1/1/2016
10003,0.898798,17,1/1/2016
10005,0.829442,17,1/1/2016
11001,0.94144,17,1/1/2016
12001,0.792698,17,1/1/2016
12003,0.789629,17,1/1/2016
12005,0.690811,17,1/1/2016
12007,0.692221,17,1/1/2016
12009,0.73132,17,1/1/2016
12011,0.657662,17,1/1/2016
12013,0.629275,17,1/1/2016
12015,0.656814,17,1/1/2016
12017,0.705286,17,1/1/2016
12019,0.778142,17,1/1/2016
12021,0.565251,17,1/1/2016
12023,0.714288,17,1/1/2016
12027,0.457869,17,1/1/2016
12029,0.579214,17,1/1/2016
12031,0.744465,17,1/1/2016
12033,0.748315,17,1/1/2016
12035,0.68566,17,1/1/2016
12037,0.560986,17,1/1/2016
12039,0.65802,17,1/1/2016
12041,0.617908,17,1/1/2016
12043,0.461923,17,1/1/2016
12045,0.684757,17,1/1/2016
12047,0.729696,17,1/1/2016
12049,0.548967,17,1/1/2016
12051,0.388415,17,1/1/2016
12053,0.688496,17,1/1/2016
12055,0.621209,17,1/1/2016
12057,0.715309,17,1/1/2016
12059,0.609211,17,1/1/2016
12061,0.626638,17,1/1/2016
12063,0.734584,17,1/1/2016
12065,0.804063,17,1/1/2016
12067,0.472047,17,1/1/2016
12069,0.707748,17,1/1/2016
12071,0.62254,17,1/1/2016
12073,0.837634,17,1/1/2016
12075,0.590519,17,1/1/2016
12077,0.59434,17,1/1/2016
12079,0.645726,17,1/1/2016
12081,0.663034,17,1/1/2016
12083,0.639145,17,1/1/2016
12085,0.695779,17,1/1/2016
12086,0.535961,17,1/1/2016
12087,0.583786,17,1/1/2016
12089,0.726309,17,1/1/2016
12091,0.740221,17,1/1/2016
12093,0.554162,17,1/1/2016
12095,0.675707,17,1/1/2016
12097,0.627981,17,1/1/2016
12099,0.670057,17,1/1/2016
12101,0.716148,17,1/1/2016
12103,0.722351,17,1/1/2016
12105,0.679128,17,1/1/2016
12107,0.574539,17,1/1/2016
12109,0.829079,17,1/1/2016
12111,0.630347,17,1/1/2016
12113,0.781045,17,1/1/2016
12115,0.692459,17,1/1/2016
12117,0.75917,17,1/1/2016
12119,0.732991,17,1/1/2016
12121,0.668237,17,1/1/2016
12123,0.677634,17,1/1/2016
12125,0.722337,17,1/1/2016
12127,0.678692,17,1/1/2016
12129,0.785482,17,1/1/2016
12131,0.633282,17,1/1/2016
12133,0.710904,17,1/1/2016
13001,0.598035,17,1/1/2016
13003,0.445534,17,1/1/2016
13005,0.619496,17,1/1/2016
13007,0.571744,17,1/1/2016
13009,0.769051,17,1/1/2016
13011,0.6889,17,1/1/2016
13013,0.676201,17,1/1/2016
13015,0.693127,17,1/1/2016
13017,0.585419,17,1/1/2016
13019,0.55576,17,1/1/2016
13021,0.682218,17,1/1/2016
13023,0.771271,17,1/1/2016
13025,0.522689,17,1/1/2016
13027,0.58956,17,1/1/2016
13029,0.73991,17,1/1/2016
13031,0.739274,17,1/1/2016
13033,0.675721,17,1/1/2016
13035,0.681577,17,1/1/2016
13037,0.551442,17,1/1/2016
13039,0.753003,17,1/1/2016
13043,0.54674,17,1/1/2016
13045,0.703147,17,1/1/2016
13047,0.73735,17,1/1/2016
13049,0.617651,17,1/1/2016
13051,0.686959,17,1/1/2016
