fips,measure,source,date
"01001                                                                                              ",0.5556701123353744363059,25,2016-01-01
"01003                                                                                              ",0.5166907235904286316242,25,2016-01-01
"01005                                                                                              ",0.4313140459561954796890,25,2016-01-01
"01007                                                                                              ",0.3911924763091598604997,25,2016-01-01
"01009                                                                                              ",0.3400919841134650038999,25,2016-01-01
"01011                                                                                              ",0.5138917528083843609076,25,2016-01-01
"01013                                                                                              ",0.4847975184013053496023,25,2016-01-01
"01015                                                                                              ",0.5057530414825041912839,25,2016-01-01
"01017                                                                                              ",0.4687083673268125621968,25,2016-01-01
"01019                                                                                              ",0.3618256963807030598613,25,2016-01-01
"01021                                                                                              ",0.4042890058364188952941,25,2016-01-01
"01023                                                                                              ",0.2676827354963645654960,25,2016-01-01
"01025                                                                                              ",0.3411803731363355178813,25,2016-01-01
"01027                                                                                              ",0.4185833012076276884732,25,2016-01-01
"01029                                                                                              ",0.3545566204355349154122,25,2016-01-01
"01031                                                                                              ",0.5342878403457024771160,25,2016-01-01
"01033                                                                                              ",0.4413139563030634475215,25,2016-01-01
"01035                                                                                              ",0.2927874055280121211034,25,2016-01-01
"01037                                                                                              ",0.2776306470266538761531,25,2016-01-01
"01039                                                                                              ",0.3953165203826395675132,25,2016-01-01
"01041                                                                                              ",0.4215866811307053011896,25,2016-01-01
"01043                                                                                              ",0.3830519719206390475251,25,2016-01-01
"01045                                                                                              ",0.4687514008301880026178,25,2016-01-01
"01047                                                                                              ",0.4221156346096950896979,25,2016-01-01
"01049                                                                                              ",0.3911906832465192171488,25,2016-01-01
"01051                                                                                              ",0.5380102383876780735334,25,2016-01-01
"01053                                                                                              ",0.3936274553751535309886,25,2016-01-01
"01055                                                                                              ",0.4635210371074313481141,25,2016-01-01
"01057                                                                                              ",0.3740776934042190763934,25,2016-01-01
"01059                                                                                              ",0.3860625240942792336450,25,2016-01-01
"01061                                                                                              ",0.4056338028169014084507,25,2016-01-01
"01063                                                                                              ",0.2995167696183466169390,25,2016-01-01
"01065                                                                                              ",0.3824154346832106579643,25,2016-01-01
"01067                                                                                              ",0.4798755614527393514492,25,2016-01-01
"01069                                                                                              ",0.5168108587873517361329,25,2016-01-01
"01071                                                                                              ",0.4236881505455393084157,25,2016-01-01
"01073                                                                                              ",0.5951551447449816659344,25,2016-01-01
"01075                                                                                              ",0.3165490716418178069050,25,2016-01-01
"01077                                                                                              ",0.4590706556333545512412,25,2016-01-01
"01079                                                                                              ",0.3187850207547000654467,25,2016-01-01
"01081                                                                                              ",0.5711567943626110578173,25,2016-01-01
"01083                                                                                              ",0.5048260280972915788813,25,2016-01-01
"01085                                                                                              ",0.4375126635048995436655,25,2016-01-01
"01087                                                                                              ",0.4975246770245918541164,25,2016-01-01
