fips,measure,source,date
17121,0,33,10/17/2016
39121,2.6666E-05,33,10/4/2020
27057,0.000296731,33,9/4/2018
55053,0.000743282,33,6/1/2023
27069,0.000776727,33,9/10/2018
31051,0.00113477,33,8/7/2019
18049,0.001320554,33,12/22/2016
18045,0.001442956,33,12/20/2016
18021,0.00153106,33,12/8/2016
48497,0.001593201,33,8/3/2022
31161,0.001630612,33,10/1/2019
26061,0.001881596,33,6/15/2018
20201,0.001996193,33,9/15/2017
01085,0.002264003,33,2/12/2015
36051,0.002354376,33,1/28/2020
42023,0.00247385,33,3/5/2021
36089,0.002519837,33,2/16/2020
36073,0.002986051,33,2/8/2020
20043,0.003096088,33,6/28/2017
36039,0.003102168,33,1/22/2020
36035,0.003173018,33,1/20/2020
42063,0.003325129,33,3/25/2021
21001,0.004255958,33,9/20/2017
20105,0.00442816,33,7/29/2017
05065,0.004449668,33,5/24/2015
21219,0.005645888,33,1/7/2018
27023,0.00604077,33,8/18/2018
29119,0.00625138,33,3/23/2019
21089,0.006658068,33,11/3/2017
22025,0.007298118,33,1/30/2018
20147,0.007371456,33,8/19/2017
42107,0.007647031,33,4/16/2021
21045,0.007700481,33,10/12/2017
02290,0.007734784,33,4/6/2015
39145,0.007880283,33,10/16/2020
21163,0.008003351,33,12/10/2017
26143,0.008633952,33,7/26/2018
19009,0.008652704,33,3/4/2017
42051,0.008819843,33,3/19/2021
42037,0.008950176,33,3/12/2021
42093,0.009330172,33,4/9/2021
21007,0.009515952,33,9/23/2017
42127,0.009561965,33,4/26/2021
21133,0.009598128,33,11/25/2017
42117,0.009747576,33,4/21/2021
21057,0.009815789,33,10/18/2017
42111,0.00987913,33,4/18/2021
46102,0.009922598,33,8/9/2021
27011,0.009945098,33,8/12/2018
48213,0.010999844,33,3/14/2022
29111,0.011371921,33,3/19/2019
55019,0.011867711,33,5/15/2023
20073,0.01195394,33,7/13/2017
46121,0.012398392,33,8/18/2021
21041,0.012513004,33,10/10/2017
42099,0.012804381,33,4/12/2021
31135,0.012889455,33,9/18/2019
49001,0.013031849,33,8/9/2022
21005,0.013057935,33,9/22/2017
02013,0.01307089,33,3/9/2015
27017,0.013156615,33,8/15/2018
21197,0.013180893,33,12/27/2017
20089,0.01328949,33,7/21/2017
42105,0.013364724,33,4/15/2021
36105,0.013623139,33,2/24/2020
42059,0.013813249,33,3/23/2021
17117,0.014464734,33,10/15/2016
42005,0.014587563,33,2/24/2021
