fips,measure,indicator,date
01001,0.996,35,1/1/2015
01003,0.972,35,1/1/2015
01005,0.988,35,1/1/2015
01007,1,35,1/1/2015
01009,0.988,35,1/1/2015
01011,1,35,1/1/2015
01013,0.996,35,1/1/2015
01015,0.952,35,1/1/2015
01017,0.996,35,1/1/2015
01019,0.992,35,1/1/2015
01021,0.992,35,1/1/2015
01023,1,35,1/1/2015
01025,0.992,35,1/1/2015
01027,0.996,35,1/1/2015
01029,0.988,35,1/1/2015
01031,0.984,35,1/1/2015
01033,0.964,35,1/1/2015
01035,0.992,35,1/1/2015
01037,1,35,1/1/2015
01039,0.976,35,1/1/2015
01041,1,35,1/1/2015
01043,0.98,35,1/1/2015
01045,0.976,35,1/1/2015
01047,0.988,35,1/1/2015
01049,0.984,35,1/1/2015
01051,0.988,35,1/1/2015
01053,0.992,35,1/1/2015
01055,0.976,35,1/1/2015
01057,1,35,1/1/2015
01059,0.984,35,1/1/2015
01061,0.984,35,1/1/2015
01063,0.996,35,1/1/2015
01065,0.996,35,1/1/2015
01067,1,35,1/1/2015
01069,0.98,35,1/1/2015
01071,0.984,35,1/1/2015
01073,0.884,35,1/1/2015
01075,1,35,1/1/2015
01077,0.98,35,1/1/2015
01079,0.992,35,1/1/2015
01081,0.972,35,1/1/2015
01083,0.98,35,1/1/2015
01085,0.996,35,1/1/2015
01087,0.996,35,1/1/2015
01089,0.964,35,1/1/2015
01091,0.988,35,1/1/2015
01093,0.992,35,1/1/2015
01095,0.968,35,1/1/2015
01097,0.956,35,1/1/2015
01099,0.992,35,1/1/2015
01101,0.968,35,1/1/2015
01103,0.964,35,1/1/2015
01105,0.996,35,1/1/2015
01107,0.988,35,1/1/2015
01109,0.988,35,1/1/2015
01111,0.992,35,1/1/2015
01113,0.992,35,1/1/2015
01115,0.988,35,1/1/2015
01117,0.988,35,1/1/2015
01119,0.996,35,1/1/2015
01121,0.984,35,1/1/2015
01123,0.984,35,1/1/2015
01125,0.976,35,1/1/2015
01127,0.988,35,1/1/2015
01129,1,35,1/1/2015
01131,1,35,1/1/2015
01133,0.992,35,1/1/2015
02013,0.996,35,1/1/2015
02016,0.992,35,1/1/2015
02020,0.988,35,1/1/2015
02050,0.996,35,1/1/2015
02060,1,35,1/1/2015
02068,1,35,1/1/2015
02070,0.992,35,1/1/2015
02090,0.988,35,1/1/2015
02100,1,35,1/1/2015
,1.004,35,1/1/2015
02110,0.996,35,1/1/2015
02122,0.98,35,1/1/2015
02130,0.992,35,1/1/2015
02150,0.988,35,1/1/2015
02158,0.984,35,1/1/2015
02164,1,35,1/1/2015
02170,0.992,35,1/1/2015
02180,0.988,35,1/1/2015
02185,0.992,35,1/1/2015
02188,0.992,35,1/1/2015
,1.004,35,1/1/2015
,1.004,35,1/1/2015
02220,0.996,35,1/1/2015
02230,1,35,1/1/2015
,1.004,35,1/1/2015
02261,0.988,35,1/1/2015
,1.004,35,1/1/2015
02282,1,35,1/1/2015
02290,0.992,35,1/1/2015
04001,0.956,35,1/1/2015
04003,0.908,35,1/1/2015
04005,0.948,35,1/1/2015
04007,0.944,35,1/1/2015
04009,0.96,35,1/1/2015
04011,0.98,35,1/1/2015
04012,0.972,35,1/1/2015
04013,0.664,35,1/1/2015
04015,0.928,35,1/1/2015
04017,0.936,35,1/1/2015
04019,0.896,35,1/1/2015
04021,0.876,35,1/1/2015
04023,0.968,35,1/1/2015
04025,0.876,35,1/1/2015
04027,0.948,35,1/1/2015
05001,0.992,35,1/1/2015
05003,0.992,35,1/1/2015
05005,0.984,35,1/1/2015
05007,0.936,35,1/1/2015
05009,0.96,35,1/1/2015
05011,0.988,35,1/1/2015
05013,1,35,1/1/2015
05015,0.98,35,1/1/2015
05017,0.988,35,1/1/2015
05019,0.984,35,1/1/2015
05021,0.984,35,1/1/2015
05023,0.976,35,1/1/2015
05025,0.996,35,1/1/2015
05027,0.988,35,1/1/2015
05029,0.976,35,1/1/2015
05031,0.936,35,1/1/2015
05033,0.972,35,1/1/2015
05035,0.972,35,1/1/2015
05037,0.992,35,1/1/2015
05039,1,35,1/1/2015
05041,0.992,35,1/1/2015
05043,0.988,35,1/1/2015
05045,0.96,35,1/1/2015
05047,0.98,35,1/1/2015
05049,0.988,35,1/1/2015
05051,0.956,35,1/1/2015
05053,0.992,35,1/1/2015
05055,0.976,35,1/1/2015
05057,0.98,35,1/1/2015
05059,0.972,35,1/1/2015
05061,0.988,35,1/1/2015
05063,0.964,35,1/1/2015
05065,0.98,35,1/1/2015
05067,0.988,35,1/1/2015
05069,0.964,35,1/1/2015
05071,0.984,35,1/1/2015
05073,1,35,1/1/2015
05075,0.976,35,1/1/2015
05077,1,35,1/1/2015
05079,1,35,1/1/2015
05081,0.988,35,1/1/2015
05083,0.988,35,1/1/2015
05085,0.96,35,1/1/2015
05087,0.992,35,1/1/2015
05089,0.992,35,1/1/2015
05091,0.972,35,1/1/2015
05093,0.956,35,1/1/2015
05095,0.996,35,1/1/2015
05097,0.992,35,1/1/2015
05099,0.992,35,1/1/2015
05101,0.988,35,1/1/2015
05103,0.98,35,1/1/2015
05105,0.996,35,1/1/2015
05107,0.98,35,1/1/2015
05109,0.988,35,1/1/2015
05111,0.976,35,1/1/2015
05113,0.984,35,1/1/2015
05115,0.96,35,1/1/2015
05117,0.992,35,1/1/2015
05119,0.82,35,1/1/2015
05121,0.996,35,1/1/2015
05123,0.98,35,1/1/2015
05125,0.96,35,1/1/2015
05127,1,35,1/1/2015
05129,0.996,35,1/1/2015
05131,0.956,35,1/1/2015
05133,0.988,35,1/1/2015
05135,0.984,35,1/1/2015
05137,1,35,1/1/2015
05139,0.972,35,1/1/2015
05141,0.984,35,1/1/2015
05143,0.94,35,1/1/2015
05145,0.936,35,1/1/2015
05147,0.988,35,1/1/2015
05149,0.984,35,1/1/2015
06001,0.792,35,1/1/2015
06003,0.996,35,1/1/2015
06005,0.992,35,1/1/2015
06007,0.924,35,1/1/2015
06009,0.984,35,1/1/2015
06011,0.984,35,1/1/2015
06013,0.88,35,1/1/2015
06015,0.996,35,1/1/2015
06017,0.928,35,1/1/2015
06019,0.804,35,1/1/2015
06021,0.968,35,1/1/2015
06023,0.868,35,1/1/2015
06025,0.908,35,1/1/2015
06027,0.968,35,1/1/2015
06029,0.74,35,1/1/2015
06031,0.932,35,1/1/2015
06033,0.968,35,1/1/2015
06035,0.948,35,1/1/2015
06037,0.424,35,1/1/2015
06039,0.96,35,1/1/2015
06041,0.9,35,1/1/2015
