source,fips,value,date
43,51958,0.000144637,12/31/2017
43,51955,0.000306418,12/31/2017
43,51953,9.94179E-05,12/31/2017
43,51951,1.24799E-05,12/31/2017
43,51949,0.001115479,12/31/2017
43,51947,0.00014998,12/31/2017
43,51945,0.00021263,12/31/2017
43,51944,0.000273054,12/31/2017
43,51942,8.89295E-05,12/31/2017
43,51941,0.000335514,12/31/2017
43,51939,0.000669393,12/31/2017
43,51933,3.09014E-05,12/31/2017
43,51931,4.85748E-05,12/31/2017
43,51929,0,12/31/2017
43,51923,0.000942635,12/31/2017
43,51921,0.000496978,12/31/2017
43,51919,6.25764E-05,12/31/2017
43,51918,4.47749E-05,12/31/2017
43,51913,5.40416E-05,12/31/2017
43,51911,0,12/31/2017
43,51907,2.36501E-05,12/31/2017
43,51903,0.00255757,12/31/2017
43,51901,0.000729771,12/31/2017
43,51019,0.000110375,12/31/2017
43,46102,,12/31/2017
43,15901,0,12/31/2017
43,02901,0,12/31/2017
43,02280,0.003174525,12/31/2017
43,02232,0.003573749,12/31/2017
43,02110,0.000236323,12/31/2017
43,02122,0,12/31/2017
43,51800,0,12/31/2017
43,51810,6.49634E-06,12/31/2017
43,51760,8.94324E-06,12/31/2017
43,51770,5.31707E-05,12/31/2017
43,51740,0,12/31/2017
43,02240,0,12/31/2017
43,02261,0.001607348,12/31/2017
43,02270,,12/31/2017
43,02220,0.009247353,12/31/2017
43,02150,0,12/31/2017
43,02158,,12/31/2017
43,02164,0,12/31/2017
43,02170,0.000260963,12/31/2017
43,02180,0.000200171,12/31/2017
43,02185,0,12/31/2017
43,02188,0,12/31/2017
43,51650,0,12/31/2017
43,51700,5.85735E-05,12/31/2017
43,51710,0,12/31/2017
43,51550,0,12/31/2017
43,51197,0,12/31/2017
43,51510,0.000238014,12/31/2017
43,51193,0,12/31/2017
43,51179,0,12/31/2017
43,51181,0.000829291,12/31/2017
43,51183,0,12/31/2017
43,51185,4.62763E-05,12/31/2017
43,51187,0,12/31/2017
43,15007,0.000128934,12/31/2017
43,51033,0.000177132,12/31/2017
43,51061,0,12/31/2017
43,51063,0,12/31/2017
43,51065,0.000408581,12/31/2017
43,51067,0,12/31/2017
43,51071,0,12/31/2017
43,51073,0.000166424,12/31/2017
43,51075,0,12/31/2017
43,51077,0.000125763,12/31/2017
43,51079,0.000917158,12/31/2017
43,51083,0,12/31/2017
43,51085,0,12/31/2017
43,51087,0,12/31/2017
43,51007,0.000469105,12/31/2017
43,51009,0,12/31/2017
43,51011,0.002361082,12/31/2017
43,51013,0,12/31/2017
43,51017,0,12/31/2017
43,51021,0,12/31/2017
43,51023,0,12/31/2017
43,51025,0.000475993,12/31/2017
43,51027,0,12/31/2017
43,51029,0,12/31/2017
43,51036,0.001237846,12/31/2017
43,51037,0.000928039,12/31/2017
43,51041,0,12/31/2017
43,51043,0.000678209,12/31/2017
43,51045,0,12/31/2017
43,51047,3.96724E-05,12/31/2017
43,51049,0,12/31/2017
43,51051,0,12/31/2017
43,51145,0,12/31/2017
43,51147,0.000155258,12/31/2017
43,51057,0.001903657,12/31/2017
43,51091,0.010997753,12/31/2017
43,51093,0.000151076,12/31/2017
43,51155,0.000112786,12/31/2017
43,51157,0,12/31/2017
43,51159,0.000222641,12/31/2017
43,51167,0.027660413,12/31/2017
43,51169,0.0020845,12/31/2017
43,51171,0.00023971,12/31/2017
43,51173,0.00797063,12/31/2017
43,51097,0.002790113,12/31/2017
43,51099,0.000173099,12/31/2017
43,51101,0.00160662,12/31/2017
43,51103,0.002986544,12/31/2017
43,51105,8.08699E-05,12/31/2017
43,51107,6.96193E-06,12/31/2017
43,51109,0.000608314,12/31/2017
43,51111,0.001086048,12/31/2017
43,51113,0.001048932,12/31/2017
43,51115,0.000313215,12/31/2017
43,51117,0,12/31/2017
43,51119,0.000346771,12/31/2017
43,51125,0.000212661,12/31/2017
43,51127,9.62573E-05,12/31/2017
43,51131,0.000164652,12/31/2017
43,51133,0.000161212,12/31/2017
43,51135,0,12/31/2017
43,51137,0.000156852,12/31/2017
43,51139,0.000116725,12/31/2017
43,51141,0.002723751,12/31/2017
43,02282,0.006256682,12/31/2017
43,02290,0.000362276,12/31/2017
43,04001,5.51797E-05,12/31/2017
43,04003,3.06045E-05,12/31/2017
43,04005,9.80342E-05,12/31/2017
43,04007,0,12/31/2017
43,04009,5.24002E-05,12/31/2017
43,04011,0.005449044,12/31/2017
43,04012,0,12/31/2017
43,04013,2.45302E-06,12/31/2017
43,04015,3.04974E-05,12/31/2017
43,04017,7.32327E-05,12/31/2017
43,04019,0,12/31/2017
43,04021,3.87755E-05,12/31/2017
43,04023,4.26138E-05,12/31/2017
43,04025,4.75608E-05,12/31/2017
43,04027,0.000192635,12/31/2017
43,05001,0.000344462,12/31/2017
43,05003,0,12/31/2017
43,05005,4.80736E-05,12/31/2017
43,05007,0,12/31/2017
43,05009,0,12/31/2017
43,05011,0.000179688,12/31/2017
43,05013,0.000623759,12/31/2017
43,05015,0,12/31/2017
43,05017,0,12/31/2017
43,05019,0,12/31/2017
43,05021,0.000322529,12/31/2017
43,05023,0.000601348,12/31/2017
43,05025,0,12/31/2017
43,05027,0,12/31/2017
43,05029,0,12/31/2017
43,05031,0,12/31/2017
43,05033,0.000127207,12/31/2017
43,05035,0,12/31/2017
43,05037,0.000713589,12/31/2017
43,05039,0,12/31/2017
43,05041,0,12/31/2017
43,05043,0.000275847,12/31/2017
43,05045,0.000110761,12/31/2017
43,05047,0,12/31/2017
43,05049,0.020068566,12/31/2017
43,05051,4.03186E-05,12/31/2017
