source,fips,value,year
43,48201,0.005410428,2014
43,48453,0.018672226,2014
43,21111,0.017613039,2014
43,36061,0.007451716,2014
43,12095,0.009733473,2014
43,48439,0.005706573,2014
43,48029,0.005968368,2014
43,31109,0.034835187,2014
43,05119,,2014
43,12086,0.003766393,2014
43,48113,0.00398403,2014
43,29510,0.029119986,2014
43,48029,0.004776885,2014
43,36005,0.005449623,2014
43,18097,0.008160767,2014
43,42003,0.006047877,2014
43,42101,0.004742245,2014
43,17031,0.001361054,2014
43,48141,0.008523574,2014
43,47157,0.007475187,2014
43,26081,0.011315664,2014
43,48201,0.001621751,2014
43,12095,0.005715966,2014
43,01073,,2014
43,36047,0.002571423,2014
43,06073,,2014
43,17031,0.001233573,2014
43,06037,,2014
43,20173,0.012752194,2014
43,36067,0.01355381,2014
43,36001,0.020329953,2014
43,36061,0.003839405,2014
43,28049,0.025142002,2014
43,39035,0.004859738,2014
43,09009,,2014
43,48215,0.007498413,2014
43,42101,0.003807734,2014
43,48201,0.001355476,2014
43,48201,0.001349738,2014
43,12083,0.01696546,2014
43,25025,0.007560945,2014
43,10003,0.010342187,2014
43,06073,,2014
43,11001,0.008876945,2014
43,12031,0.006359509,2014
43,25025,0.007390594,2014
43,06037,,2014
43,06037,,2014
43,36061,0.003309519,2014
43,27109,0.035731372,2014
43,36029,0.00571103,2014
43,01089,,2014
43,08001,,2014
43,42077,0.014278047,2014
43,37119,0.005216619,2014
43,40143,0.008176213,2014
43,12057,0.003852394,2014
43,55079,0.005134757,2014
43,27053,0.004109549,2014
43,24510,0.007819873,2014
43,26163,0.002718362,2014
43,51059,0.004307848,2014
43,51610,0.368072223,2014
43,26125,0.003929786,2014
43,25005,0.008625791,2014
43,04013,,2014
43,48113,0.001918978,2014
43,40143,0.007380862,2014
43,12011,0.002461976,2014
43,26161,0.01261857,2014
43,24510,0.007126874,2014
43,39153,0.008181424,2014
43,04013,,2014
43,24005,0.005363502,2014
43,36061,0.00270999,2014
43,47037,0.006767775,2014
43,39035,0.003448597,2014
43,47065,0.012678355,2014
43,37063,0.01545999,2014
43,29189,0.004359497,2014
43,42021,0.030758964,2014
43,42111,0.056250908,2014
43,06059,,2014
43,36085,0.009072821,2014
43,12057,0.003339252,2014
43,26163,0.002346059,2014
43,04013,,2014
43,06037,,2014
43,37067,0.011507615,2014
43,39061,0.005100041,2014
43,12009,0.007463632,2014
43,09007,,2014
43,09003,,2014
43,37081,0.008090687,2014
43,22051,0.00932648,2014
43,22071,0.010998469,2014
43,12073,0.014358397,2014
43,06075,,2014
43,48375,0.032481053,2014
43,48381,0.031750332,2014
43,54039,0.020673272,2014
43,45079,0.010019655,2014
43,39049,0.003289858,2014
43,48201,0.000921632,2014
43,06037,,2014
43,39035,0.003073582,2014
43,47157,0.004156372,2014
43,34007,0.007475342,2014
43,37147,0.022223058,2014
43,18097,0.004147013,2014
43,18057,0.01315916,2014
43,22079,0.028802016,2014
43,08031,,2014
43,12031,0.004317567,2014
43,39113,0.007073838,2014
43,12086,0.001452671,2014
43,53053,0.004649005,2014
43,36061,0.002325444,2014
43,12105,0.006072661,2014
43,37067,0.010426638,2014
43,06085,,2014
43,22033,0.008318316,2014
43,06071,,2014
43,06037,,2014
43,17031,0.000698337,2014
43,48113,0.001486758,2014
43,36081,0.001587907,2014
43,48085,0.004315186,2014
43,31109,0.012295753,2014
43,48121,0.005096592,2014
43,54061,0.035654424,2014
43,45079,0.009048807,2014
43,12001,0.014131285,2014
43,06019,,2014
43,36005,0.002492544,2014
43,36119,0.003656246,2014
43,04013,,2014
43,37135,0.025416666,2014
43,34031,0.00689385,2014
43,34007,0.006777516,2014
43,34001,0.012619165,2014
43,55025,0.006907519,2014
43,48113,0.001416722,2014
43,51087,0.011002899,2014
43,51760,0.016414866,2014
43,22055,0.015168405,2014
43,51710,0.014115794,2014
43,36059,0.00255795,2014
43,36081,0.00151485,2014
43,35001,0.005123504,2014
43,37021,0.014004014,2014
43,17043,0.003691876,2014
43,45045,0.007312486,2014
43,36061,0.002107434,2014
43,32031,0.007920663,2014
43,23005,0.011908398,2014
43,36055,0.004526498,2014
43,26161,0.009606845,2014
43,40109,0.004536751,2014
43,34029,0.005798741,2014
43,19153,0.007518964,2014
43,32003,0.001668017,2014
43,15003,0.003415286,2014
43,25013,0.007133415,2014
43,09003,,2014
43,51760,0.015718337,2014
43,29189,0.00330636,2014
43,29510,0.010378031,2014
43,55025,0.00657627,2014
43,34005,0.007326272,2014
43,34007,0.006433383,2014
43,25025,0.004402907,2014
43,06019,,2014
43,06073,,2014
43,25025,0.004370147,2014
43,39049,0.002729273,2014
43,51770,0.033169854,2014
43,12071,0.005017271,2014
43,34003,0.003524398,2014
43,17031,0.000617724,2014
43,39095,0.007347773,2014
43,12086,0.001237879,2014
43,48157,0.005078871,2014
43,39049,0.002671987,2014
43,04019,,2014
43,06067,,2014
43,25021,0.004621514,2014
43,25025,0.004219453,2014
43,13121,0.003263206,2014
43,47065,0.009139218,2014
43,36047,0.001221855,2014
43,04013,,2014
43,48355,0.008966605,2014
43,12021,0.009318045,2014
43,51760,0.014766414,2014
43,51041,0.009609276,2014
43,26099,0.003652163,2014
