fips,measure,source,date
02290,0.000809868,44,1/1/2016
15007,0.032579789,44,1/1/2016
15001,0.019352334,44,1/1/2016
15009,0.041645042,44,1/1/2016
15003,0.080155945,44,1/1/2016
02090,0.007173617,44,1/1/2016
02240,0.003388722,44,1/1/2016
04027,0.008099142,44,1/1/2016
02180,0.001715504,44,1/1/2016
02050,0,44,1/1/2016
02270,0.000210388,44,1/1/2016
02112,,44,1/1/2016
02020,0.012444001,44,1/1/2016
02170,0.003553617,44,1/1/2016
02261,0.002879848,44,1/1/2016
02060,0.004486679,44,1/1/2016
02013,0.00018699,44,1/1/2016
02188,0.000116361,44,1/1/2016
02150,0.001939412,44,1/1/2016
02070,0.000197804,44,1/1/2016
02164,8.93277E-05,44,1/1/2016
01073,0.049238985,44,1/1/2016
01029,0.024867598,44,1/1/2016
01115,0.04215719,44,1/1/2016
01075,0.026706346,44,1/1/2016
01121,0.033339652,44,1/1/2016
48219,0.017994276,44,1/1/2016
48387,0.013494744,44,1/1/2016
48125,0.012818033,44,1/1/2016
48337,0.020427842,44,1/1/2016
48009,0.023178419,44,1/1/2016
48303,0.04825819,44,1/1/2016
48277,0.016984774,44,1/1/2016
48023,0.017358435,44,1/1/2016
04013,0.026140632,44,1/1/2016
04019,0.011456605,44,1/1/2016
02960,,44,1/1/2016
02231,,44,1/1/2016
02110,0.003280919,44,1/1/2016
02100,0.003993629,44,1/1/2016
02185,0.000298301,44,1/1/2016
23029,0.018692702,44,1/1/2016
01125,0.029913037,44,1/1/2016
01057,0.028675933,44,1/1/2016
04012,0.008305536,44,1/1/2016
04007,0.010056114,44,1/1/2016
04011,0.013061608,44,1/1/2016
05081,0.021071248,44,1/1/2016
05013,0.017810982,44,1/1/2016
05103,0.025794507,44,1/1/2016
05043,0.017760071,44,1/1/2016
05017,0.023974258,44,1/1/2016
05011,0.020226985,44,1/1/2016
05057,0.02846336,44,1/1/2016
05099,0.03146353,44,1/1/2016
05091,0.029288396,44,1/1/2016
13121,0.101520882,44,1/1/2016
13265,0.04711187,44,1/1/2016
13133,0.040882937,44,1/1/2016
13063,0.090840198,44,1/1/2016
13151,0.057974092,44,1/1/2016
13211,0.040425608,44,1/1/2016
13073,0.073638218,44,1/1/2016
13045,0.062648347,44,1/1/2016
13217,0.050348054,44,1/1/2016
13189,0.058867564,44,1/1/2016
13301,0.045815711,44,1/1/2016
20175,0.022748836,44,1/1/2016
20081,0.023233467,44,1/1/2016
20055,0.017345967,44,1/1/2016
20101,0.017560722,44,1/1/2016
20063,0.010900332,44,1/1/2016
