fips,measure,source,date
01001,0.615301672,45,1/1/2016
01003,0.735474194,45,1/1/2016
01005,0.71321118,45,1/1/2016
01007,0.660823885,45,1/1/2016
01009,0.634132145,45,1/1/2016
01011,0.656966007,45,1/1/2016
01013,0.670416345,45,1/1/2016
01015,0.514612552,45,1/1/2016
01017,0.434876858,45,1/1/2016
01019,0.603429556,45,1/1/2016
01021,0.674233181,45,1/1/2016
01023,0.708715297,45,1/1/2016
01025,0.666793521,45,1/1/2016
01027,0.494203856,45,1/1/2016
01029,0.57860706,45,1/1/2016
01031,0.520354596,45,1/1/2016
01033,0.431212993,45,1/1/2016
01035,0.822589852,45,1/1/2016
01037,0.632897177,45,1/1/2016
01039,0.54728139,45,1/1/2016
01041,0.532540118,45,1/1/2016
01043,0.631061513,45,1/1/2016
01045,0.573297814,45,1/1/2016
01047,0.466825608,45,1/1/2016
01049,0.611981061,45,1/1/2016
01051,0.58309175,45,1/1/2016
01053,0.774146249,45,1/1/2016
01055,0.426702186,45,1/1/2016
01057,0.650044959,45,1/1/2016
01059,0.521108263,45,1/1/2016
01061,0.554650161,45,1/1/2016
01063,0.646418404,45,1/1/2016
01065,0.673233267,45,1/1/2016
01067,0.538367976,45,1/1/2016
01069,0.562959149,45,1/1/2016
01071,0.583267108,45,1/1/2016
01073,0.369927208,45,1/1/2016
01075,0.583845416,45,1/1/2016
01077,0.494338172,45,1/1/2016
01079,0.616055339,45,1/1/2016
01081,0.650160621,45,1/1/2016
01083,0.556194804,45,1/1/2016
01085,0.805326409,45,1/1/2016
01087,0.478317159,45,1/1/2016
01089,0.595060872,45,1/1/2016
01091,0.580666585,45,1/1/2016
01093,0.585677349,45,1/1/2016
01095,0.63382247,45,1/1/2016
01097,0.463609466,45,1/1/2016
01099,0.750674382,45,1/1/2016
01101,0.517280233,45,1/1/2016
01103,0.63393067,45,1/1/2016
01105,0.521100801,45,1/1/2016
01107,0.524731087,45,1/1/2016
01109,0.653115591,45,1/1/2016
01111,0.62335322,45,1/1/2016
01113,0.509113024,45,1/1/2016
01115,0.657753253,45,1/1/2016
01117,0.800864105,45,1/1/2016
01119,0.607082228,45,1/1/2016
01121,0.568201236,45,1/1/2016
01123,0.592423038,45,1/1/2016
01125,0.53965891,45,1/1/2016
01127,0.544587591,45,1/1/2016
01129,0.64880999,45,1/1/2016
01131,0.811777347,45,1/1/2016
01133,0.61077221,45,1/1/2016
02013,0.762255478,45,1/1/2016
02016,0.785999709,45,1/1/2016
02020,0.63841536,45,1/1/2016
02050,0.85025912,45,1/1/2016
02060,0.875779317,45,1/1/2016
02068,0.838353425,45,1/1/2016
02070,0.868884387,45,1/1/2016
02090,0.631352533,45,1/1/2016
02100,0.777873541,45,1/1/2016
02105,0.698835548,45,1/1/2016
02110,0.697514766,45,1/1/2016
02122,0.804453349,45,1/1/2016
02130,0.549053626,45,1/1/2016
02150,0.577554911,45,1/1/2016
02164,0.973625398,45,1/1/2016
02170,0.735298836,45,1/1/2016
02180,0.779492805,45,1/1/2016
02185,0.89245326,45,1/1/2016
02188,0.749338676,45,1/1/2016
02195,0.608313466,45,1/1/2016
02198,0.804666017,45,1/1/2016
02220,0.639057096,45,1/1/2016
02230,0.407050887,45,1/1/2016
02240,0.706521455,45,1/1/2016
02261,0.603425825,45,1/1/2016
02275,0.593139395,45,1/1/2016
02282,0.722408152,45,1/1/2016
02290,0.784477452,45,1/1/2016
04001,0.781973935,45,1/1/2016
04003,0.592214101,45,1/1/2016
04005,0.72207609,45,1/1/2016
04007,0.663786317,45,1/1/2016
04009,0.534129534,45,1/1/2016
04011,0.409696183,45,1/1/2016
04012,0.64126213,45,1/1/2016
04013,0.68578816,45,1/1/2016
04015,0.812310884,45,1/1/2016
04017,0.67922529,45,1/1/2016
04019,0.60468318,45,1/1/2016
04021,0.419426691,45,1/1/2016
04023,0.651977629,45,1/1/2016
04025,0.753879331,45,1/1/2016
04027,0.650328517,45,1/1/2016
05001,0.354503158,45,1/1/2016
05003,0.464083306,45,1/1/2016
05005,0.58240151,45,1/1/2016
05007,0.740884178,45,1/1/2016
05009,0.477485141,45,1/1/2016
05011,0.527906187,45,1/1/2016
05013,0.570395078,45,1/1/2016
05015,0.65985755,45,1/1/2016
05017,0.507844476,45,1/1/2016
05019,0.659432213,45,1/1/2016
05021,0.390365752,45,1/1/2016
05023,0.696548431,45,1/1/2016
05025,0.676863553,45,1/1/2016
05027,0.50001679,45,1/1/2016
05029,0.535842073,45,1/1/2016
05031,0.57561851,45,1/1/2016
05033,0.707536294,45,1/1/2016
05035,0.53032389,45,1/1/2016
05037,0.405909194,45,1/1/2016
05039,0.374430553,45,1/1/2016
05041,0.475280107,45,1/1/2016
05043,0.621331005,45,1/1/2016
05045,0.643552979,45,1/1/2016
05047,0.651600795,45,1/1/2016
05049,0.58648325,45,1/1/2016
05051,0.546964253,45,1/1/2016
05053,0.635702906,45,1/1/2016
05055,0.616126228,45,1/1/2016
05057,0.597433802,45,1/1/2016
05059,0.555273241,45,1/1/2016
05061,0.500494361,45,1/1/2016
05063,0.571141283,45,1/1/2016
05065,0.623084586,45,1/1/2016
05067,0.379191338,45,1/1/2016
05069,0.449480082,45,1/1/2016
05071,0.570600284,45,1/1/2016
05073,0.497621473,45,1/1/2016
05075,0.482342933,45,1/1/2016
05077,0.414553975,45,1/1/2016
05079,0.633934401,45,1/1/2016
05081,0.541916179,45,1/1/2016
05083,0.497259564,45,1/1/2016
05085,0.646410942,45,1/1/2016
05087,0.52288423,45,1/1/2016
05089,0.580483764,45,1/1/2016
05091,0.521417938,45,1/1/2016
05093,0.525585491,45,1/1/2016
05095,0.507870593,45,1/1/2016
05097,0.568171388,45,1/1/2016
05099,0.487029098,45,1/1/2016
05101,0.614245792,45,1/1/2016
05103,0.470190991,45,1/1/2016
05105,0.76948247,45,1/1/2016
05107,0.305111875,45,1/1/2016
05109,0.600840226,45,1/1/2016
05111,0.509023479,45,1/1/2016
05113,0.637277398,45,1/1/2016
05115,0.732825168,45,1/1/2016
05117,0.492916653,45,1/1/2016
05119,0.512168732,45,1/1/2016
05121,0.606649429,45,1/1/2016
05123,0.650679233,45,1/1/2016
05125,0.611925096,45,1/1/2016
05127,0.666920376,45,1/1/2016
05129,0.543266809,45,1/1/2016
05131,0.483574171,45,1/1/2016
05133,0.686799267,45,1/1/2016
05135,0.521466441,45,1/1/2016
05137,0.653137977,45,1/1/2016
05139,0.497475963,45,1/1/2016
05141,0.60176552,45,1/1/2016
05143,0.677717957,45,1/1/2016
05145,0.630740645,45,1/1/2016
05147,0.323315536,45,1/1/2016
05149,0.54199453,45,1/1/2016
06001,0.332952769,45,1/1/2016
06003,0.509814456,45,1/1/2016
06005,0.555459793,45,1/1/2016
06007,0.510444999,45,1/1/2016
06009,0.691086213,45,1/1/2016
06011,0.377948907,45,1/1/2016
06013,0.478529828,45,1/1/2016
06015,0.549042433,45,1/1/2016
06017,0.570947269,45,1/1/2016
06019,0.495946243,45,1/1/2016
06021,0.384209564,45,1/1/2016
06023,0.427657328,45,1/1/2016
06025,0.520224011,45,1/1/2016
06027,0.432354686,45,1/1/2016
06029,0.510001007,45,1/1/2016
06031,0.529562761,45,1/1/2016
06033,0.528555385,45,1/1/2016
06035,0.542136309,45,1/1/2016
06037,0.275823344,45,1/1/2016
06039,0.581741119,45,1/1/2016
06041,0.256496644,45,1/1/2016
06043,0.607153117,45,1/1/2016
06045,0.480917682,45,1/1/2016
06047,0.513855154,45,1/1/2016
06049,0.413971935,45,1/1/2016
06051,0.546766509,45,1/1/2016
06053,0.4447678,45,1/1/2016
06055,0.410293146,45,1/1/2016
06057,0.710151741,45,1/1/2016
06059,0.446748973,45,1/1/2016
06061,0.616779157,45,1/1/2016
06063,0.593878137,45,1/1/2016
06065,0.630714528,45,1/1/2016
06067,0.495438824,45,1/1/2016
06069,0.782555975,45,1/1/2016
06071,0.615600154,45,1/1/2016
06073,0.537998605,45,1/1/2016
06075,0.120179985,45,1/1/2016
06077,0.480753517,45,1/1/2016
06079,0.588815139,45,1/1/2016
06081,0.259447883,45,1/1/2016
06083,0.390384407,45,1/1/2016
06085,0.366375274,45,1/1/2016
06087,0.372173284,45,1/1/2016
06089,0.634859695,45,1/1/2016
06091,0.506187902,45,1/1/2016
06093,0.440514433,45,1/1/2016
06095,0.602724393,45,1/1/2016
06097,0.532118512,45,1/1/2016
06099,0.531760334,45,1/1/2016
06101,0.463460225,45,1/1/2016
06103,0.512377669,45,1/1/2016
06105,0.40611067,45,1/1/2016
06107,0.505035016,45,1/1/2016
06109,0.582920123,45,1/1/2016
06111,0.470008171,45,1/1/2016
06113,0.493610623,45,1/1/2016
06115,0.360364596,45,1/1/2016
08001,0.485279248,45,1/1/2016
08003,0.448468975,45,1/1/2016
08005,0.64687732,45,1/1/2016
08007,0.758147622,45,1/1/2016
08009,0.298343799,45,1/1/2016
08011,0.27850968,45,1/1/2016
08013,0.619469225,45,1/1/2016
08014,0.518593554,45,1/1/2016
08015,0.442738123,45,1/1/2016
08017,0.438626536,45,1/1/2016
08019,0.36920712,45,1/1/2016
08021,0.516422098,45,1/1/2016
08023,0.63768781,45,1/1/2016
08025,0.211575126,45,1/1/2016
08027,0.595180264,45,1/1/2016
08029,0.508601874,45,1/1/2016
08031,0.214992743,45,1/1/2016
08033,0.409364122,45,1/1/2016
08035,0.880846047,45,1/1/2016
08037,0.884315898,45,1/1/2016
08039,0.788663659,45,1/1/2016
08041,0.584975916,45,1/1/2016
08043,0.546620999,45,1/1/2016
08045,0.635781258,45,1/1/2016
08047,0.463926603,45,1/1/2016
08049,0.562470385,45,1/1/2016
08051,0.580308406,45,1/1/2016
08053,0.652854419,45,1/1/2016
08055,0.432802409,45,1/1/2016
08057,0.400529059,45,1/1/2016
08059,0.524156509,45,1/1/2016
08061,0.344593561,45,1/1/2016
08063,0.371960615,45,1/1/2016
08065,0.257425669,45,1/1/2016
08067,0.676897132,45,1/1/2016
08069,0.593799786,45,1/1/2016
08071,0.356047802,45,1/1/2016
08073,0.278438791,45,1/1/2016
08075,0.276006164,45,1/1/2016
08077,0.534610836,45,1/1/2016
08079,0.639329461,45,1/1/2016
08081,0.435839462,45,1/1/2016
08083,0.638557139,45,1/1/2016
08085,0.565440279,45,1/1/2016
08087,0.31096585,45,1/1/2016
08089,0.265648844,45,1/1/2016
08091,0.583102943,45,1/1/2016
08093,0.680881865,45,1/1/2016
08095,0.1725337,45,1/1/2016
08097,0.599844043,45,1/1/2016
08099,0.291926439,45,1/1/2016
08101,0.310059211,45,1/1/2016
08103,0.50545289,45,1/1/2016
08105,0.389548658,45,1/1/2016
08107,0.656242188,45,1/1/2016
08109,0.557343959,45,1/1/2016
08111,0.44093977,45,1/1/2016
08113,0.898012484,45,1/1/2016
08115,0.129776176,45,1/1/2016
08117,0.862601344,45,1/1/2016
08119,0.852318644,45,1/1/2016
08121,0.254052824,45,1/1/2016
08123,0.406271104,45,1/1/2016
08125,0.182156009,45,1/1/2016
09001,0.279505863,45,1/1/2016
09003,0.302153173,45,1/1/2016
09005,0.369684691,45,1/1/2016
09007,0.413822694,45,1/1/2016
09009,0.305160378,45,1/1/2016
09011,0.36103618,45,1/1/2016
09013,0.44057413,45,1/1/2016
09015,0.389197942,45,1/1/2016
10001,0.519406917,45,1/1/2016
10003,0.453737179,45,1/1/2016
10005,0.615648657,45,1/1/2016
11001,0.078668622,45,1/1/2016
12001,0.689235625,45,1/1/2016
12003,0.676833705,45,1/1/2016
12005,0.766191707,45,1/1/2016
12007,0.556702223,45,1/1/2016
12009,0.745365137,45,1/1/2016
12011,0.585311708,45,1/1/2016
12013,0.642776926,45,1/1/2016
12015,0.801099159,45,1/1/2016
12017,0.833738149,45,1/1/2016
12019,0.699148954,45,1/1/2016
12021,0.900866717,45,1/1/2016
12023,0.720169538,45,1/1/2016
12027,0.806815087,45,1/1/2016
12029,0.720087455,45,1/1/2016
12031,0.525637725,45,1/1/2016
12033,0.606544961,45,1/1/2016
12035,0.740290945,45,1/1/2016
12037,0.594393019,45,1/1/2016
12039,0.604802573,45,1/1/2016
12041,0.831865176,45,1/1/2016
12043,0.987247363,45,1/1/2016
12045,0.598575495,45,1/1/2016
12047,0.684381564,45,1/1/2016
12049,0.629113919,45,1/1/2016
12051,0.718483115,45,1/1/2016
12053,0.872481093,45,1/1/2016
12055,0.799002324,45,1/1/2016
12057,0.626677561,45,1/1/2016
12059,0.635781258,45,1/1/2016
12061,0.71445361,45,1/1/2016
12063,0.595650373,45,1/1/2016
12065,0.668170269,45,1/1/2016
12067,0.637381866,45,1/1/2016
12069,0.671808016,45,1/1/2016
12071,0.680631886,45,1/1/2016
12073,0.753897986,45,1/1/2016
12075,0.801453607,45,1/1/2016
12077,0.622976386,45,1/1/2016
12079,0.567089392,45,1/1/2016
12081,0.583379038,45,1/1/2016
12083,0.764516478,45,1/1/2016
12085,0.830984654,45,1/1/2016
12086,0.452076874,45,1/1/2016
12087,0.633934401,45,1/1/2016
12089,0.631975614,45,1/1/2016
12091,0.732496838,45,1/1/2016
12093,0.849886017,45,1/1/2016
12095,0.708972737,45,1/1/2016
12097,0.786242225,45,1/1/2016
12099,0.796039892,45,1/1/2016
12101,0.637079654,45,1/1/2016
12103,0.482704842,45,1/1/2016
12105,0.626282073,45,1/1/2016
12107,0.691466777,45,1/1/2016
12109,0.715244587,45,1/1/2016
12111,0.747738067,45,1/1/2016
12113,0.758606537,45,1/1/2016
12115,0.601526735,45,1/1/2016
12117,0.827641658,45,1/1/2016
12119,0.42241524,45,1/1/2016
12121,0.807460554,45,1/1/2016
12123,0.622909228,45,1/1/2016
12125,0.747271689,45,1/1/2016
12127,0.72291184,45,1/1/2016
12129,0.780444216,45,1/1/2016
12131,0.696276066,45,1/1/2016
12133,0.736753935,45,1/1/2016
13001,0.682997355,45,1/1/2016
13003,0.65777937,45,1/1/2016
13005,0.585774355,45,1/1/2016
13007,0.567443839,45,1/1/2016
13009,0.636717744,45,1/1/2016
13011,0.729351585,45,1/1/2016
13013,0.652182835,45,1/1/2016
13015,0.818582734,45,1/1/2016
13017,0.663846013,45,1/1/2016
13019,0.610283446,45,1/1/2016
13021,0.411942259,45,1/1/2016
13023,0.603925782,45,1/1/2016
13025,0.76816915,45,1/1/2016
13027,0.640392802,45,1/1/2016
13029,0.73501901,45,1/1/2016
13031,0.643097794,45,1/1/2016
13033,0.639512281,45,1/1/2016
13035,0.555956019,45,1/1/2016
13037,0.549732672,45,1/1/2016
13039,0.834935808,45,1/1/2016
13043,0.655458673,45,1/1/2016
13045,0.598429985,45,1/1/2016
13047,0.63772139,45,1/1/2016
13049,0.696686478,45,1/1/2016
13051,0.449767371,45,1/1/2016
13053,0.345197987,45,1/1/2016
13055,0.594269895,45,1/1/2016
13057,0.752181716,45,1/1/2016
13059,0.629710883,45,1/1/2016
13061,0.63203531,45,1/1/2016
13063,0.601627472,45,1/1/2016
13065,0.642497099,45,1/1/2016
13067,0.832141271,45,1/1/2016
13069,0.763751618,45,1/1/2016
13071,0.727806942,45,1/1/2016
13073,0.741928864,45,1/1/2016
13075,0.66048063,45,1/1/2016
13077,0.715490835,45,1/1/2016
13079,0.802502024,45,1/1/2016
13081,0.558705783,45,1/1/2016
13083,0.657980845,45,1/1/2016
13085,0.818634968,45,1/1/2016
13087,0.625964936,45,1/1/2016
13089,0.521104532,45,1/1/2016
13091,0.579651746,45,1/1/2016
13093,0.604015327,45,1/1/2016
13095,0.433298635,45,1/1/2016
13097,0.607582185,45,1/1/2016
13099,0.619241632,45,1/1/2016
13101,0.904668629,45,1/1/2016
13103,0.683105554,45,1/1/2016
13105,0.53634203,45,1/1/2016
13107,0.531223067,45,1/1/2016
13109,0.608817154,45,1/1/2016
13111,0.656600366,45,1/1/2016
13113,1,45,1/1/2016
13115,0.513396238,45,1/1/2016
13117,0.702372558,45,1/1/2016
13119,0.681049761,45,1/1/2016
13121,0.546800088,45,1/1/2016
13123,0.769120561,45,1/1/2016
13125,0.60796648,45,1/1/2016
13127,0.569421281,45,1/1/2016
13129,0.687571589,45,1/1/2016
13131,0.639773452,45,1/1/2016
13133,0.637706465,45,1/1/2016
13135,0.916003477,45,1/1/2016
13137,0.714725975,45,1/1/2016
13139,0.705570044,45,1/1/2016
13141,0.714326756,45,1/1/2016
13143,0.624103155,45,1/1/2016
13145,0.735824911,45,1/1/2016
13147,0.719400947,45,1/1/2016
13149,0.803084064,45,1/1/2016
13151,0.740242442,45,1/1/2016
13153,0.633315051,45,1/1/2016
13155,0.729679916,45,1/1/2016
13157,0.583326804,45,1/1/2016
13159,0.625599296,45,1/1/2016
13161,0.628494569,45,1/1/2016
13163,0.534804849,45,1/1/2016
13165,0.595433974,45,1/1/2016
13167,0.591770109,45,1/1/2016
13169,0.687821568,45,1/1/2016
13171,0.480854255,45,1/1/2016
13173,0.529029225,45,1/1/2016
13175,0.732336404,45,1/1/2016
13177,0.886670174,45,1/1/2016
13179,0.861362644,45,1/1/2016
13181,0.724560952,45,1/1/2016
13183,0.727060737,45,1/1/2016
13185,0.595042217,45,1/1/2016
13187,0.79395425,45,1/1/2016
13189,0.591270152,45,1/1/2016
13191,0.743466046,45,1/1/2016
13193,0.607936632,45,1/1/2016
13195,0.661596206,45,1/1/2016
13197,0.679885681,45,1/1/2016
13199,0.60672405,45,1/1/2016
13201,0.509978621,45,1/1/2016
13205,0.62772971,45,1/1/2016
13207,0.627998343,45,1/1/2016
13209,0.611488566,45,1/1/2016
13211,0.598825474,45,1/1/2016
13213,0.855202725,45,1/1/2016
13215,0.395555605,45,1/1/2016
13217,0.651541099,45,1/1/2016
13219,0.73556747,45,1/1/2016
13221,0.68925428,45,1/1/2016
13223,0.727993493,45,1/1/2016
13225,0.675274137,45,1/1/2016
13227,0.658734512,45,1/1/2016
13229,0.698458714,45,1/1/2016
13231,0.577107189,45,1/1/2016
13233,0.507799704,45,1/1/2016
13235,0.60639572,45,1/1/2016
13237,0.787689862,45,1/1/2016
13239,0.82732079,45,1/1/2016
13241,0.788719625,45,1/1/2016
13243,0.662528962,45,1/1/2016
13245,0.515668431,45,1/1/2016
13247,0.947463464,45,1/1/2016
13249,0.574029095,45,1/1/2016
13251,0.634460475,45,1/1/2016
13253,0.637803472,45,1/1/2016
13255,0.535759991,45,1/1/2016
13257,0.666513695,45,1/1/2016
13259,0.470896154,45,1/1/2016
13261,0.680322211,45,1/1/2016
13263,0.73564209,45,1/1/2016
13265,0.573286621,45,1/1/2016
13267,0.712401548,45,1/1/2016
13269,0.710047272,45,1/1/2016
13271,0.475869608,45,1/1/2016
13273,0.61595087,45,1/1/2016
13275,0.599567948,45,1/1/2016
13277,0.685806815,45,1/1/2016
13279,0.667979987,45,1/1/2016
13281,0.728101693,45,1/1/2016
13283,0.637713928,45,1/1/2016
13285,0.526734646,45,1/1/2016
13287,0.388578592,45,1/1/2016
13289,0.702622536,45,1/1/2016
13291,0.771359174,45,1/1/2016
13293,0.55515758,45,1/1/2016
13295,0.521947743,45,1/1/2016
13297,0.830342918,45,1/1/2016
13299,0.525820545,45,1/1/2016
13301,0.403151968,45,1/1/2016
13303,0.584319256,45,1/1/2016
13305,0.632188282,45,1/1/2016
13307,0.73808218,45,1/1/2016
13309,0.509519705,45,1/1/2016
13311,0.877480664,45,1/1/2016
13313,0.641221089,45,1/1/2016
13315,0.576778859,45,1/1/2016
13317,0.442656041,45,1/1/2016
13319,0.682019827,45,1/1/2016
13321,0.743906307,45,1/1/2016
15001,0.671912485,45,1/1/2016
15003,0.398518038,45,1/1/2016
15005,0.073195211,45,1/1/2016
15007,0.742063181,45,1/1/2016
15009,0.656186223,45,1/1/2016
16001,0.573749268,45,1/1/2016
16003,0.572872477,45,1/1/2016
16005,0.33784414,45,1/1/2016
16007,0.381504572,45,1/1/2016
16009,0.506057316,45,1/1/2016
16011,0.362420389,45,1/1/2016
