fips,measure,source,date
01001,0.001942652886782189758,47,2016-01-01
01003,0.002447742637345559095,47,2016-01-01
01005,0.001321003963011889035,47,2016-01-01
01007,0.000621648923770300722,47,2016-01-01
01011,0.000621648923770300722,47,2016-01-01
01013,0.000505089750563369337,47,2016-01-01
01015,0.003846452715828735721,47,2016-01-01
01017,0.001321003963011889035,47,2016-01-01
01023,0.000854767270184163493,47,2016-01-01
01025,0.000621648923770300722,47,2016-01-01
01027,0.001282150905276245240,47,2016-01-01
01031,0.001126738674333670059,47,2016-01-01
01033,0.000660501981505944517,47,2016-01-01
01035,0.000466236692827725542,47,2016-01-01
01041,0.000621648923770300722,47,2016-01-01
01043,0.001049032558862382469,47,2016-01-01
01045,0.001398710078483176626,47,2016-01-01
01047,0.001981505944517833553,47,2016-01-01
01049,0.001010179501126738674,47,2016-01-01
01051,0.001903799829046545963,47,2016-01-01
01053,0.000427383635092081746,47,2016-01-01
01055,0.003613334369414872950,47,2016-01-01
01057,0.000621648923770300722,47,2016-01-01
01063,0.000582795866034656927,47,2016-01-01
01065,0.000621648923770300722,47,2016-01-01
01067,0.000699355039241588313,47,2016-01-01
01069,0.004001864946771310902,47,2016-01-01
01071,0.000349677519620794156,47,2016-01-01
01073,0.011189680627865413008,47,2016-01-01
01077,0.003496775196207941565,47,2016-01-01
01081,0.003185950734322791203,47,2016-01-01
01083,0.001398710078483176626,47,2016-01-01
01085,0.000543942808299013132,47,2016-01-01
01087,0.000621648923770300722,47,2016-01-01
01089,0.006799285103737664154,47,2016-01-01
01091,0.001204444789804957650,47,2016-01-01
01095,0.000699355039241588313,47,2016-01-01
01097,0.007887170720335690418,47,2016-01-01
01099,0.000738208096977232108,47,2016-01-01
01101,0.012394125417670370658,47,2016-01-01
01103,0.000660501981505944517,47,2016-01-01
01105,0.000543942808299013132,47,2016-01-01
01107,0.000427383635092081746,47,2016-01-01
01109,0.001165591732069313855,47,2016-01-01
01111,0.000660501981505944517,47,2016-01-01
01113,0.000621648923770300722,47,2016-01-01
01115,0.000621648923770300722,47,2016-01-01
01117,0.004468101639599036444,47,2016-01-01
01119,0.000854767270184163493,47,2016-01-01
01121,0.002098065117724764939,47,2016-01-01
