fips,measure,source,date
10001,0.383001963545896600289905729,52,2016-01-01
10003,0.405848745283891727406371757,52,2016-01-01
10005,0.337337956061805434190371428,52,2016-01-01
11001,0.273584396492346283141262220,52,2016-01-01
12001,0.462152909851654621529098516,52,2016-01-01
12003,0.718339107460446372580263793,52,2016-01-01
12005,0.339062483936960924408623153,52,2016-01-01
12007,0.655437531483556588159098619,52,2016-01-01
12009,0.226645626227216185375181191,52,2016-01-01
12011,0.237177839688299939345964450,52,2016-01-01
12013,0.695090107223998437387558726,52,2016-01-01
12015,0.054349613973044935388031622,52,2016-01-01
12017,0.173298345892488151902377843,52,2016-01-01
12019,0.341934555323676662588796480,52,2016-01-01
12021,0.089928603003916811448192201,52,2016-01-01
12023,0.572457156662177582679674729,52,2016-01-01
12027,0.407124793108056706383066215,52,2016-01-01
12029,0.632890164793930484307053344,52,2016-01-01
12031,0.440776217449857617221633958,52,2016-01-01
12033,0.370857020961623472083723129,52,2016-01-01
12035,0.115033205514377062494217305,52,2016-01-01
12037,0.599577991837406063347485941,52,2016-01-01
12039,0.721256155356573766615607619,52,2016-01-01
12041,0.630033513924727313848652760,52,2016-01-01
12043,0.407884253595550666680373793,52,2016-01-01
12045,0.576036001768219341441098763,52,2016-01-01
12047,0.560583358177500436914662856,52,2016-01-01
12049,0.578036813915475003341112127,52,2016-01-01
12051,0.422946244075951188921900218,52,2016-01-01
12053,0.171910499316357056942831001,52,2016-01-01
12055,0.256310846792018340135494947,52,2016-01-01
12057,0.319229128329546739588580592,52,2016-01-01
12059,0.493984713126972541198482621,52,2016-01-01
12061,0.228814779023984044904546996,52,2016-01-01
12063,0.575196868606910447914632015,52,2016-01-01
12065,0.594197516268645975758946470,52,2016-01-01
12067,0.626010043897073185776114646,52,2016-01-01
12069,0.249343342962589824514510706,52,2016-01-01
12071,0.144497959351515836871485407,52,2016-01-01
12073,0.505190289186105085686675644,52,2016-01-01
12075,0.494775014649491636939335684,52,2016-01-01
12077,0.703433892241423622176760252,52,2016-01-01
12079,0.649464651033688690592456282,52,2016-01-01
12081,0.205673722410124083764251128,52,2016-01-01
12083,0.284950602942234741397921314,52,2016-01-01
12085,0.180201597565614302015975656,52,2016-01-01
12086,0.223717012942954365548507807,52,2016-01-01
12087,0.180270989894420856763952998,52,2016-01-01
12089,0.391908597452530506923812363,52,2016-01-01
12091,0.190458811797723931615145004,52,2016-01-01
12093,0.477687796202440553904989051,52,2016-01-01
12095,0.258670185971441201566724579,52,2016-01-01
12097,0.107971893536747093232448880,52,2016-01-01
12099,0.188645615946871176996700009,52,2016-01-01
12101,0.225504507931286173963998231,52,2016-01-01
12103,0.214138301481397715707339138,52,2016-01-01
12105,0.369759594131979069217562941,52,2016-01-01
12107,0.548271359986841158389275544,52,2016-01-01
12109,0.254446249216123693111140809,52,2016-01-01
12111,0.246327346745756787597791781,52,2016-01-01
12113,0.299048811078099781028651321,52,2016-01-01
12115,0.098952175835021023305542133,52,2016-01-01
12117,0.287893351700883081636219711,52,2016-01-01
12119,0.085601862798515518180790147,52,2016-01-01
12121,0.614870005037369054105455779,52,2016-01-01
12123,0.642037101765135237938585218,52,2016-01-01
12125,0.663435639900075046518561162,52,2016-01-01
12127,0.258093201607845959310394456,52,2016-01-01
12129,0.601060931604864659257964697,52,2016-01-01
12131,0.320867558315257060026934503,52,2016-01-01
12133,0.574547921828256556290029093,52,2016-01-01
13001,0.797370544755481993975717825,52,2016-01-01
13003,0.708395443751092286657140213,52,2016-01-01
13005,0.787565665703741017548548929,52,2016-01-01
13007,0.878323121523958344042026050,52,2016-01-01
13009,0.830856198534022801805228583,52,2016-01-01
13011,0.739786477234175978945853422,52,2016-01-01
13013,0.593022986851438734283922568,52,2016-01-01
13015,0.632277199222805917366586822,52,2016-01-01
13017,0.791739485777142680908371284,52,2016-01-01
13019,0.735012542020910221747041830,52,2016-01-01
13021,0.781017085933403925035724198,52,2016-01-01
13023,0.843705344751369855972366432,52,2016-01-01
13025,0.694125039836336907466614579,52,2016-01-01
13027,0.690547479773421196015338274,52,2016-01-01
13029,0.467650324344885014341081286,52,2016-01-01
13031,0.702560062915711451276304832,52,2016-01-01
13033,0.808959063666176636887933959,52,2016-01-01
13035,0.795415994160764035241022688,52,2016-01-01
13037,0.786727817585558171332229909,52,2016-01-01
13039,0.247121503397654025269088030,52,2016-01-01
13043,0.775342335488779003423354887,52,2016-01-01
13045,0.685490835072425030584026399,52,2016-01-01
13047,0.227737912884356399000750465,52,2016-01-01
13049,0.457553740503531298510378008,52,2016-01-01
13051,0.526814994911229220852651814,52,2016-01-01
13053,0.099283716961541229323656101,52,2016-01-01
13055,0.782855982646777625857123765,52,2016-01-01
13057,0.405225499367758781984723407,52,2016-01-01
13059,0.558789437973538391948433789,52,2016-01-01
13061,0.641875186331253276859971420,52,2016-01-01
13063,0.464642038386808261285248732,52,2016-01-01
13065,0.823992783197804118306210356,52,2016-01-01
13067,0.292680137345409311936508589,52,2016-01-01
13069,0.801368313920615175845301368,52,2016-01-01
13071,0.731370729801692144788379098,52,2016-01-01
13073,0.409400604484286492654693491,52,2016-01-01
13075,0.793068220369475599601122613,52,2016-01-01
13077,0.551806513626597308605676806,52,2016-01-01
13079,0.775190700399905420825922917,52,2016-01-01
13081,0.875894390015728927862819076,52,2016-01-01
13083,0.219788636106627738426901606,52,2016-01-01
13085,0.579156086478262210479783701,52,2016-01-01
13087,0.746105034284950602942234741,52,2016-01-01
13089,0.385189106946429122161339734,52,2016-01-01
13091,0.876880018093407214746126880,52,2016-01-01
13093,0.897711852209760159550954530,52,2016-01-01
13095,0.798931872153629475805208022,52,2016-01-01
13097,0.474976355206480729493281794,52,2016-01-01
13099,0.774878434920275924460024878,52,2016-01-01
