fips,measure,source,date
10001,0.027879677182685253118,27,2013-01-01
10003,0.054944159126110703513,27,2013-01-01
10005,0.026004728132387706855,27,2013-01-01
11001,0.159615227847069373114,27,2013-01-01
12001,0.045895491970326893290,27,2013-01-01
12003,0.009700823347191652400,27,2013-01-01
12005,0.033504524333577891905,27,2013-01-01
12007,0.010026901442895573489,27,2013-01-01
12009,0.032037172902910247004,27,2013-01-01
12011,0.037580500529876905518,27,2013-01-01
12013,0.006521561914078421782,27,2013-01-01
12015,0.016385424309122034727,27,2013-01-01
12017,0.013776799543490666014,27,2013-01-01
12019,0.020216841933643107524,27,2013-01-01
12021,0.030080704328686720469,27,2013-01-01
12023,0.022580908127496535420,27,2013-01-01
12027,0.006684600961930382326,27,2013-01-01
12029,0.004075976196299013613,27,2013-01-01
12031,0.048014999592402380370,27,2013-01-01
12033,0.034482758620689655172,27,2013-01-01
12035,0.011657291921415178935,27,2013-01-01
12037,0.024048259558164180321,27,2013-01-01
12039,0.012146409064971060569,27,2013-01-01
12041,0.008641069536153908861,27,2013-01-01
12043,0.002934702861335289801,27,2013-01-01
12045,0.012146409064971060569,27,2013-01-01
12047,0.010679057634303415668,27,2013-01-01
12049,0.009782342871117632673,27,2013-01-01
12051,0.012554006684600961930,27,2013-01-01
12053,0.013043123828156843564,27,2013-01-01
12055,0.014673514306676449009,27,2013-01-01
12057,0.050052987690551887176,27,2013-01-01
12059,0.009456264775413711583,27,2013-01-01
12061,0.026901442895573489850,27,2013-01-01
12063,0.015407190022010271460,27,2013-01-01
12065,0.007255237629412244232,27,2013-01-01
12067,0.008641069536153908861,27,2013-01-01
12069,0.018178853835493600717,27,2013-01-01
12071,0.027961196706611233390,27,2013-01-01
12073,0.040352164343360234776,27,2013-01-01
12075,0.010679057634303415668,27,2013-01-01
12077,0.011005135730007336757,27,2013-01-01
12079,0.009048667155783810222,27,2013-01-01
12081,0.024944974321349963316,27,2013-01-01
12083,0.018504931931197521806,27,2013-01-01
12085,0.032444770522540148365,27,2013-01-01
12086,0.036031629575283280345,27,2013-01-01
12087,0.041248879106546017771,27,2013-01-01
12089,0.018831010026901442895,27,2013-01-01
12091,0.037580500529876905518,27,2013-01-01
12093,0.013695280019564685742,27,2013-01-01
12095,0.057063666748186190592,27,2013-01-01
12097,0.019564685742235265346,27,2013-01-01
12099,0.038395695769136708241,27,2013-01-01
12101,0.015651748593788212276,27,2013-01-01
12103,0.044917257683215130023,27,2013-01-01
12105,0.024537376701720061954,27,2013-01-01
12107,0.013043123828156843564,27,2013-01-01
12109,0.023640661938534278959,27,2013-01-01
12111,0.016956060976603896633,27,2013-01-01
12113,0.015407190022010271460,27,2013-01-01
12115,0.034808836716393576261,27,2013-01-01
12117,0.035705551479579359256,27,2013-01-01
12119,0.015407190022010271460,27,2013-01-01
12121,0.012146409064971060569,27,2013-01-01
12123,0.021113556696828890519,27,2013-01-01
12125,0.007907393820820086410,27,2013-01-01
12127,0.025678650036683785766,27,2013-01-01
12129,0.009863862395043612945,27,2013-01-01
12131,0.033830602429281812994,27,2013-01-01
12133,0.011575772397489198663,27,2013-01-01
13001,0.023640661938534278959,27,2013-01-01
13003,0.013450721447786744925,27,2013-01-01
13005,0.019483166218309285073,27,2013-01-01
13007,0.019238607646531344256,27,2013-01-01
13009,0.023803700986386239504,27,2013-01-01
13011,0.008396510964375968044,27,2013-01-01
13013,0.014510475258824488464,27,2013-01-01
13015,0.022091790983940653786,27,2013-01-01
